 CNTY , CONAME ,TOTPOP,POPRANK,POPSQMI,POPANGNO,POPANGPC,POPBLNO,POPBLPCT,POPHISNO,POPHISPC,POPOTHNO,POPOTHPC,POP04TOT,POP04F,POP04M,POP04PCT,POP514TO,POP514F,POP514M,POP514PC,POP1544T,POP1544F,POP1544M,POP1544PC,POP4564T,POP4564F,POP4564M,POP4564PC,POP65T,POP65F,POP65M,POP65PC,POPTFNO,POPTMNO,POPTFMPC,POPTMPC, UNEMPRT , TANFRECP ,FSPARTIC, PCPI , MCELIG , LIVEBIR ,ADBIRNO, ADBIRPCT ,UNWEDNO, UNWEDPCT , LBWNO , LBWPCT ,PRNTNO, PREPCT ,FERTILRT,TBNO,TBRATE,SYPHNO, SYPHRATE ,GONNO, GONRATE ,CHLAMNO,CHLAMRTE,PERTNO, PERTRATE ,VARICNO, VARICRTE ,AIDSNO, AIDSRATE , ALLDEANO ,ALLDEART,CDDEANO,CDDEART,HRTDEANO,HRTDEART,STRDEANO,STRDEART,CANDEANO, CANDEART ,LNGCANDN, LNGCANDR ,BRCANDN, BRCANDR ,COPDDN, COPDDR ,DIADEANO, DIADEART ,INFDEANO, INFDEART ,FTLDEANO,FTLDEART,ACCDEANO, ACCDEART ,MVDEANO, MVDEART ,HMIDEANO, HMIDEART ,SUIDEANO, SUIDEART , POVTOT ,PopUniv_Tot, POVPCT , POV017NO , PopUniv_LT18 , POV017PC , POVGT17N , PopUniv_18+ , POVGT17P , CHIP , Medbirth , Totbirth , MedbirthP , LaborForce , #UnEmp , UnEmp% ,PercapPop,PersInc, PercapInc ,AREA2,PreNatal,NOHILT65,NOHILT65POP,NOHILT65%,NOHI1864,NOHI1864POP,NOHILT18,NOHILT18POP,NOHILT18%,Alzheimer's,ALZDEART, FLUDEANO , FLUDEART , CLNDEANO , CLNDEART , PRSTDEANO , PRSTDEART , NEPHDEANO , NEPHDEART , LVRDEANO , LVVRDEART , SEPTDEANO , SEPTDEART ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 89 , Gonzales County ,"19,198",123,18.0,"9,039",47.1%,"1,632",8.5%,"8,410",43.8%,117,0.6%,"1,541",751,790,8.0%,"2,615","1,235","1,380",13.6%,"7,433","3,578","3,855",38.7%,"4,551","2,234","2,317",23.7%,"3,058","1,699","1,359",15.9%,"9,497","9,701",49.5%,50.5%,3.9%,102,"2,984","$26,757","5,263", 325 ,24,7.4%,170,52.3%,26,8.0%,159,51.1%,90.8,1,5.2,0,---,18,93.8,65,338.6,1,5.2,6,31.3,0,---,220,942.6,#REF!,#REF!,45,190.8,16,---,50,214.1,14,---,2,---,9,---,8,---,4,---,0,---,17,---,7,---,1,---,2,---,"3,502","18,848",18.6%,"1,472","5,134",28.7%,"2,030","13,714",14.8%,256,241,333,72.4%,"9,717",377,3.9%,"19,042","509,506,794","$26,757","1,067.8",311,"4,748","16,205",29%,"3,789","11,032",959,"5,173",18.5%,9,---,9,---,6,---,0,---,5,---,4,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 90 , Gray County ,"22,530",108,24.3,"16,986",75.4%,"1,466",6.5%,"3,731",16.6%,347,1.5%,"1,366",669,697,6.1%,"2,850","1,402","1,448",12.6%,"8,665","3,674","4,991",38.5%,"5,586","2,815","2,771",24.8%,"4,063","2,373","1,690",18.0%,"10,933","11,597",48.5%,51.5%,3.4%,161,"1,725","$36,035","4,302", 359 ,11,3.1%,159,44.3%,28,7.8%,194,55.9%,97.7,0,---,0,---,16,71.0,66,292.9,12,53.3,0,---,0,---,259,860.6,#REF!,#REF!,54,167.6,15,---,53,174.7,17,---,3,---,24,73.6,12,---,5,---,1,---,10,---,6,---,2,---,7,---,"3,072","20,294",15.1%,"1,086","5,075",21.4%,"1,986","15,219",13.0%,176,205,337,60.8%,"11,197",386,3.4%,"21,996","792,625,860","$36,035",928.3,347,"4,200","16,891",25%,"3,263","11,615",937,"5,276",17.8%,8,---,2,---,9,---,3,---,5,---,8,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 91 , Grayson County ,"118,610",32,127.1,"96,526",81.4%,"7,344",6.2%,"11,571",9.8%,"3,169",2.7%,"7,990","3,918","4,072",6.7%,"14,815","7,241","7,574",12.5%,"46,697","23,063","23,634",39.4%,"31,545","15,952","15,593",26.6%,"17,563","10,197","7,366",14.8%,"60,371","58,239",50.9%,49.1%,4.7%,283,"9,882","$28,901","20,110"," 1,599 ",89,5.6%,669,41.8%,134,8.4%,880,57.3%,69.3,1,0.8,0,---,81,68.3,248,209.1,2,1.7,33,27.8,6,5.1,"1,291",905.9,#REF!,#REF!,362,249.8,70,48.2,258,181.3,68,48.7,19,---,110,76.2,23,17.1,9,---,16,---,60,48.9,28,23.0,4,---,12,---,"14,514","115,433",12.6%,"5,159","28,236",18.3%,"9,355","87,197",10.7%,"1,163",931,"1,590",58.6%,"55,439","2,585",4.7%,"118,066","3,412,225,466","$28,901",933.5,"1,536","24,087","99,780",24%,"19,286","70,936","4,801","28,844",16.6%,63,42.2,47,31.8,26,18.1,10,---,18,---,19,---,14,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 92 , Gregg County ,"118,164",33,431.3,"74,744",63.3%,"24,291",20.6%,"17,164",14.5%,"1,965",1.7%,"9,079","4,456","4,623",7.7%,"16,437","8,140","8,297",13.9%,"48,127","23,616","24,511",40.7%,"28,663","14,706","13,957",24.3%,"15,858","9,328","6,530",13.4%,"60,246","57,918",51.0%,49.0%,3.8%,478,"12,041","$38,717","25,795"," 2,023 ",119,5.9%,968,47.8%,193,9.5%,"1,102",57.8%,85.7,19,16.1,4,3.4,265,224.3,674,570.4,2,1.7,108,91.4,10,8.5,"1,250",980.6,#REF!,#REF!,316,246.6,73,57.5,259,203.3,87,68.9,27,37.2,94,73.8,32,25.0,11,---,11,---,65,55.1,36,30.7,7,---,16,---,"18,351","113,542",16.2%,"7,079","30,454",23.2%,"11,272","83,088",13.6%,"1,703","1,465","2,014",72.7%,"62,620","2,408",3.8%,"116,872","4,524,933,224","$38,717",274.0,"1,905","25,569","99,845",26%,"19,006","68,787","6,563","31,058",21.1%,27,20.1,18,---,26,20.1,9,---,34,26.5,9,---,20,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 93 , Grimes County ,"24,886",102,31.4,"15,693",63.1%,"4,644",18.7%,"4,404",17.7%,145,0.6%,"1,662",816,846,6.7%,"2,926","1,473","1,453",11.8%,"9,718","4,417","5,301",39.1%,"7,080","3,199","3,881",28.4%,"3,500","1,680","1,820",14.1%,"11,585","13,301",46.6%,53.4%,4.7%,57,"2,326","$24,565","4,162", 353 ,17,4.8%,163,46.2%,29,8.2%,152,58.7%,79.9,0,---,0,---,20,80.4,62,249.1,3,12.1,2,8.0,2,9.0,233,874.2,#REF!,#REF!,75,278.0,14,---,44,156.6,16,---,2,---,11,---,8,---,1,---,3,---,16,---,10,---,0,---,1,---,"3,863","22,949",16.8%,"1,367","5,853",23.4%,"2,496","17,096",14.6%,249,145,374,38.8%,"10,489",494,4.7%,"25,638","629,797,470","$24,565",793.6,259,"5,592","20,193",28%,"4,325","14,295","1,267","5,898",21.5%,6,---,4,---,5,---,2,---,2,---,4,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 94 , Guadalupe County ,"116,367",34,163.6,"65,627",56.4%,"6,041",5.2%,"42,550",36.6%,"2,149",1.8%,"7,152","3,487","3,665",6.1%,"17,348","8,582","8,766",14.9%,"48,469","24,055","24,414",41.7%,"30,313","15,283","15,030",26.0%,"13,085","7,173","5,912",11.2%,"58,580","57,787",50.3%,49.7%,3.8%,325,"9,356","$32,083","16,608"," 1,606 ",76,4.7%,595,37.0%,117,7.3%,967,64.3%,66.8,3,2.6,0,---,49,42.1,238,204.5,16,13.7,22,18.9,3,2.6,821,804.1,#REF!,#REF!,219,219.7,39,39.0,175,160.4,46,43.8,15,---,28,28.5,31,29.3,11,---,6,---,44,41.3,13,---,4,---,17,---,"10,640","110,723",9.6%,"4,238","28,760",14.7%,"6,402","81,963",7.8%,"1,046",768,"1,581",48.6%,"55,654","2,142",3.8%,"112,365","3,605,006,295","$32,083",711.1,"1,504","23,898","102,425",23%,"18,476","72,100","5,422","30,325",17.9%,35,38.3,12,---,16,---,5,---,19,---,12,---,6,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 95 , Hale County ,"35,516",81,35.3,"14,622",41.2%,"2,113",5.9%,"18,493",52.1%,288,0.8%,"3,104","1,517","1,587",8.7%,"5,582","2,740","2,842",15.7%,"15,040","6,952","8,088",42.3%,"7,359","3,732","3,627",20.7%,"4,431","2,498","1,933",12.5%,"17,439","18,077",49.1%,50.9%,4.7%,290,"5,905","$23,758","9,587", 644 ,51,7.9%,321,49.8%,51,7.9%,321,50.8%,92.6,0,---,0,---,41,115.4,197,554.7,1,2.8,1,2.8,2,5.9,285,808.2,#REF!,#REF!,69,192.8,12,---,53,150.1,5,---,5,---,23,65.3,18,---,2,---,2,---,18,---,10,---,3,---,2,---,"5,988","33,244",18.0%,"2,500","10,391",24.1%,"3,488","22,853",15.3%,442,472,658,71.7%,"16,270",768,4.7%,"35,573","845,143,334","$23,758","1,004.7",632,"7,457","28,822",26%,"5,563","18,626","1,894","10,196",18.6%,11,---,7,---,1,---,2,---,6,---,2,---,3,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 96 , Hall County ,"3,582",218,4.0,"2,074",57.9%,302,8.4%,"1,188",33.2%,18,0.5%,255,121,134,7.1%,501,237,264,14.0%,"1,244",609,635,34.7%,825,422,403,23.0%,757,434,323,21.1%,"1,823","1,759",50.9%,49.1%,5.3%,15,538,"$20,449",990, 45 ,5,11.1%,23,51.1%,5,11.1%,18,41.9%,73.9,0,---,0,---,4,111.7,7,195.4,0,---,1,27.9,0,---,44,789.0,#REF!,#REF!,12,---,3,---,9,---,2,---,0,---,7,---,1,---,0,---,0,---,1,---,1,---,0,---,1,---,900,"3,422",26.3%,386,900,42.9%,514,"2,522",20.4%,48,37,41,90.2%,"1,403",75,5.3%,"3,451","70,569,499","$20,449",903.1,43,"1,061","2,687",39%,828,"1,833",233,854,27.3%,0,---,1,---,0,---,0,---,1,---,1,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 97 , Hamilton County ,"8,508",177,10.2,"7,687",90.4%,15,0.2%,747,8.8%,59,0.7%,486,239,247,5.7%,"1,013",479,534,11.9%,"2,815","1,346","1,469",33.1%,"2,248","1,163","1,085",26.4%,"1,946","1,083",863,22.9%,"4,310","4,198",50.7%,49.3%,3.6%,24,660,"$29,532","1,642", 83 ,5,6.0%,26,31.3%,2,2.4%,48,59.3%,61.7,1,11.8,0,---,1,11.8,7,82.3,0,---,2,23.5,0,---,114,759.7,#REF!,#REF!,34,204.1,7,---,23,152.2,7,---,1,---,5,---,3,---,0,---,0,---,6,---,1,---,0,---,4,---,"1,148","7,865",14.6%,408,"1,760",23.2%,740,"6,105",12.1%,133,48,96,50.0%,"4,040",145,3.6%,"8,062","238,086,984","$29,532",835.7,81,"1,656","6,242",27%,"1,343","4,480",313,"1,762",17.8%,3,---,1,---,2,---,0,---,2,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 98 , Hansford County ,"5,116",201,5.6,"3,106",60.7%,7,0.1%,"1,969",38.5%,34,0.7%,440,213,227,8.6%,761,396,365,14.9%,"1,920",951,969,37.5%,"1,204",577,627,23.5%,791,443,348,15.5%,"2,580","2,536",50.4%,49.6%,3.1%,0,362,"$36,735",916, 82 ,4,4.9%,24,29.3%,5,6.1%,47,60.3%,86.2,0,---,0,---,0,---,8,156.4,0,---,1,19.5,0,---,56,923.5,#REF!,#REF!,11,---,2,---,12,---,2,---,1,---,6,---,2,---,1,---,0,---,1,---,1,---,0,---,0,---,693,"5,140",13.5%,276,"1,500",18.4%,417,"3,640",11.5%,71,28,86,32.6%,"2,515",78,3.1%,"5,155","189,368,925","$36,735",919.8,78,"1,638","4,542",36%,"1,161","3,003",477,"1,539",31.0%,3,---,0,---,2,---,3,---,3,---,1,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 99 , Hardeman County ,"4,379",207,6.3,"3,365",76.8%,207,4.7%,766,17.5%,41,0.9%,267,128,139,6.1%,533,246,287,12.2%,"1,540",786,754,35.2%,"1,160",590,570,26.5%,879,512,367,20.1%,"2,262","2,117",51.7%,48.3%,3.6%,28,385,"$27,179",888, 55 ,4,7.3%,28,50.9%,2,3.6%,34,63.0%,70.0,0,---,0,---,2,45.7,5,114.2,0,---,3,68.5,0,---,31,433.3,#REF!,#REF!,8,---,4,---,9,---,3,---,1,---,2,---,2,---,0,---,0,---,0,---,0,---,0,---,0,---,684,"4,067",16.8%,256,916,27.9%,428,"3,151",13.6%,40,36,55,65.5%,"2,329",85,3.6%,"4,099","111,406,721","$27,179",695.4,54,786,"3,254",24%,643,"2,364",143,890,16.1%,1,---,0,---,3,---,0,---,1,---,1,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 100 , Hardin County ,"51,159",59,57.2,"45,403",88.7%,"3,792",7.4%,"1,646",3.2%,318,0.6%,"3,237","1,582","1,655",6.3%,"7,192","3,416","3,776",14.1%,"20,254","10,106","10,148",39.6%,"13,806","6,913","6,893",27.0%,"6,670","3,727","2,943",13.0%,"25,744","25,415",50.3%,49.7%,4.7%,89,"4,701","$32,380","8,864", 691 ,23,3.3%,257,37.2%,58,8.4%,505,76.6%,68.4,2,3.9,0,---,34,66.5,64,125.1,0,---,0,---,4,7.8,504,977.6,#REF!,#REF!,134,257.1,23,45.8,106,195.6,32,57.5,4,---,40,75.8,21,39.5,3,---,0,---,36,74.5,17,---,0,---,7,---,"5,692","51,010",11.2%,"2,054","12,604",16.3%,"3,638","38,406",9.5%,717,355,679,52.3%,"25,824","1,207",4.7%,"51,530","1,668,541,400","$32,380",894.3,659,"9,475","45,746",21%,"7,601","32,870","1,874","12,876",14.6%,16,---,6,---,15,---,6,---,9,---,5,---,6,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 101 , Harris County ,"3,891,420",1,"2,250.9","1,309,020",33.6%,"726,346",18.7%,"1,583,992",40.7%,"272,062",7.0%,"335,912","164,886","171,026",8.6%,"564,484","276,172","288,312",14.5%,"1,839,628","896,855","942,773",47.3%,"859,671","433,860","425,811",22.1%,"291,725","166,024","125,701",7.5%,"1,937,797","1,953,623",49.8%,50.2%,4.3%,"17,456","306,104","$49,634","701,075"," 71,389 ","3,206",4.5%,"30,760",43.1%,"6,202",8.7%,"37,380",58.5%,79.6,397,10.2,461,11.8,"6,374",163.8,"13,469",346.1,79,2.0,"1,052",27.0,829,21.3,"21,389",810.1,#REF!,#REF!,"4,931",200.7,"1,275",53.8,"4,828",178.7,"1,232",46.6,439,27.2,809,34.4,631,23.7,422,5.9,450,6.3,"1,547",45.8,514,13.3,383,9.3,393,10.5,"633,112","3,885,978",16.3%,"259,582","1,115,818",23.3%,"373,530","2,770,160",13.5%,"63,738","40,444","71,126",56.9%,"1,905,367","82,257",4.3%,"3,912,196","194,177,936,264","$49,634","1,728.8","63,882","1,141,903","3,650,262",31%,"898,818","2,506,895","243,085","1,143,367",21.3%,473,22.8,378,15.8,471,17.9,202,23.0,447,18.1,339,10.6,515,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 102 , Harrison County ,"64,100",52,71.3,"43,182",67.4%,"14,957",23.3%,"5,467",8.5%,494,0.8%,"4,018","1,967","2,051",6.3%,"8,607","4,135","4,472",13.4%,"25,509","12,840","12,669",39.8%,"17,509","8,837","8,672",27.3%,"8,457","4,752","3,705",13.2%,"32,531","31,569",50.8%,49.2%,4.5%,290,"6,757","$32,435","12,566", 885 ,63,7.1%,408,46.1%,88,9.9%,474,59.3%,68.9,0,---,2,3.1,101,157.6,192,299.5,1,1.6,7,10.9,4,6.2,626,935.7,#REF!,#REF!,149,221.6,28,40.8,146,209.2,41,57.2,8,---,48,68.4,17,---,12,---,4,---,36,56.3,21,33.8,5,---,6,---,"10,157","61,547",16.5%,"3,648","15,384",23.7%,"6,509","46,163",14.1%,729,496,871,56.9%,"32,185","1,446",4.5%,"63,211","2,050,248,785","$32,435",898.7,799,"12,682","54,276",23%,"10,221","38,880","2,461","15,396",16.0%,23,37.1,12,---,14,---,5,---,19,---,9,---,9,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 103 , Hartley County ,"5,617",197,3.8,"4,399",78.3%,421,7.5%,768,13.7%,29,0.5%,357,172,185,6.4%,653,329,324,11.6%,"2,377",747,"1,630",42.3%,"1,531",588,943,27.3%,699,383,316,12.4%,"2,219","3,398",39.5%,60.5%,3.3%,0,93,"$29,444",674, 65 ,0,0.0%,17,26.2%,9,13.8%,42,66.7%,87.0,0,---,0,---,0,---,1,17.8,0,---,3,53.4,0,---,48,811.3,#REF!,#REF!,8,---,3,---,7,---,1,---,0,---,5,---,3,---,0,---,1,---,4,---,3,---,0,---,0,---,403,"3,741",10.8%,126,"1,085",11.6%,277,"2,656",10.4%,29,18,65,27.7%,"2,296",76,3.3%,"5,157","151,842,708","$29,444","1,462.3",63,746,"3,321",22%,507,"2,155",239,"1,166",20.5%,2,---,0,---,0,---,1,---,1,---,0,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 104 , Haskell County ,"5,596",198,6.2,"4,031",72.0%,172,3.1%,"1,358",24.3%,35,0.6%,373,182,191,6.7%,605,306,299,10.8%,"1,768",894,874,31.6%,"1,494",756,738,26.7%,"1,356",785,571,24.2%,"2,923","2,673",52.2%,47.8%,3.6%,64,860,"$29,103","1,495", 58 ,3,5.2%,28,48.3%,8,13.8%,34,59.6%,64.9,0,---,0,---,4,71.5,10,178.7,0,---,0,---,2,35.7,106,1058.8,#REF!,#REF!,31,265.6,11,---,22,240.3,5,---,1,---,6,---,3,---,0,---,0,---,5,---,3,---,0,---,1,---,"1,076","5,123",21.0%,335,"1,042",32.1%,741,"4,081",18.2%,99,42,58,72.4%,"3,065",109,3.6%,"5,227","152,121,381","$29,103",903.0,57,"1,104","3,839",29%,929,"2,817",175,"1,022",17.1%,4,---,2,---,2,---,1,---,1,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 105 , Hays County ,"139,699",26,206.1,"89,093",63.8%,"4,935",3.5%,"43,600",31.2%,"2,071",1.5%,"9,291","4,554","4,737",6.7%,"15,354","7,439","7,915",11.0%,"71,626","34,586","37,040",51.3%,"32,740","16,366","16,374",23.4%,"10,688","5,916","4,772",7.7%,"68,861","70,838",49.3%,50.7%,3.8%,30,"7,547","$28,729","16,203"," 2,077 ",70,3.4%,586,28.2%,139,6.7%,"1,319",66.0%,60.1,4,2.9,3,2.1,113,80.9,825,590.6,9,6.4,129,92.3,9,6.5,714,774.3,#REF!,#REF!,154,182.8,50,62.0,161,167.4,42,44.9,12,---,37,43.0,20,---,9,---,11,---,54,45.1,24,16.7,4,---,16,---,"18,247","132,755",13.7%,"4,392","33,592",13.1%,"13,855","99,163",14.0%,"1,400",803,"1,999",40.2%,"73,522","2,787",3.8%,"141,950","4,078,081,550","$28,729",677.9,"1,998","33,793","130,248",26%,"26,890","93,699","6,903","36,549",18.9%,25,32.0,18,---,18,---,17,---,10,---,14,---,10,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 106 , Hemphill County ,"3,528",219,3.9,"2,767",78.4%,49,1.4%,674,19.1%,38,1.1%,260,126,134,7.4%,425,207,218,12.0%,"1,266",555,711,35.9%,989,504,485,28.0%,588,330,258,16.7%,"1,722","1,806",48.8%,51.2%,2.1%,0,72,"$50,319",409, 78 ,1,1.3%,18,23.1%,2,2.6%,40,54.8%,140.5,0,---,0,---,0,---,5,141.7,0,---,0,---,0,---,29,628.0,#REF!,#REF!,8,---,3,---,9,---,3,---,1,---,0,---,0,---,0,---,0,---,3,---,2,---,0,---,0,---,292,"3,211",9.1%,99,798,12.4%,193,"2,413",8.0%,39,24,78,30.8%,"2,655",56,2.1%,"3,356","168,870,564","$50,319",909.7,73,983,"2,827",35%,709,"1,989",274,838,32.7%,1,---,0,---,0,---,0,---,1,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 107 , Henderson County ,"79,162",45,90.6,"65,598",82.9%,"5,120",6.5%,"7,727",9.8%,717,0.9%,"4,811","2,349","2,462",6.1%,"9,929","4,695","5,234",12.5%,"27,783","13,565","14,218",35.1%,"21,800","11,033","10,767",27.5%,"14,839","7,805","7,034",18.7%,"39,447","39,715",49.8%,50.2%,4.5%,253,"7,795","$27,627","16,006"," 1,019 ",60,5.9%,453,44.5%,61,6.0%,481,50.0%,75.1,2,2.5,0,---,57,72.0,155,195.8,4,5.1,17,21.5,1,1.3,926,917.6,#REF!,#REF!,295,292.7,62,60.0,217,197.0,83,74.4,13,---,55,50.6,15,---,8,---,5,---,44,53.9,21,26.5,3,---,11,---,"12,028","77,441",15.5%,"4,574","18,138",25.2%,"7,454","59,303",12.6%,"1,039",670,"1,026",65.3%,"34,281","1,547",4.5%,"78,713","2,174,604,051","$27,627",874.2,962,"15,719","64,043",25%,"12,826","45,862","2,893","18,181",15.9%,43,44.2,15,---,21,18.3,11,---,17,---,7,---,10,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 108 , Hidalgo County ,"719,940",8,458.6,"57,192",7.9%,"2,154",0.3%,"654,309",90.9%,"6,285",0.9%,"78,875","38,727","40,148",11.0%,"122,137","60,306","61,831",17.0%,"328,696","164,751","163,945",45.7%,"126,196","66,804","59,392",17.5%,"64,036","35,597","28,439",8.9%,"366,185","353,755",50.9%,49.1%,6.6%,"21,577","186,198","$18,316","266,114"," 17,197 ","1,131",6.6%,"6,554",38.1%,"1,321",7.7%,"8,561",62.2%,104.4,76,10.6,2,0.3,156,21.7,"2,178",302.5,25,3.5,603,83.8,45,6.3,"3,305",618.0,#REF!,#REF!,958,187.3,157,30.5,649,121.5,147,28.2,44,15.1,115,23.0,129,24.4,94,5.5,108,6.2,173,26.3,99,14.3,35,4.9,27,4.2,"238,683","702,370",34.0%,"110,811","252,362",43.9%,"127,872","450,008",28.4%,"16,054","14,056","17,283",81.3%,"272,708","17,958",6.6%,"705,478","12,921,535,048","$18,316","1,569.8","13,760","205,958","653,955",31%,"163,713","397,753","42,245","256,202",16.5%,48,10.0,93,18.9,54,10.1,29,13.5,59,11.6,77,14.2,114,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 109 , Hill County ,"35,168",83,36.5,"26,155",74.4%,"2,621",7.5%,"6,196",17.6%,196,0.6%,"2,457","1,203","1,254",7.0%,"4,841","2,339","2,502",13.8%,"12,770","6,260","6,510",36.3%,"9,107","4,492","4,615",25.9%,"5,993","3,236","2,757",17.0%,"17,530","17,638",49.8%,50.2%,4.7%,161,"3,956","$26,240","7,168", 515 ,24,4.7%,199,38.6%,45,8.7%,293,57.8%,82.3,1,2.8,0,---,37,105.2,78,221.8,4,11.4,17,48.3,2,5.7,409,930.3,#REF!,#REF!,95,210.4,29,63.4,91,202.2,38,80.8,3,---,23,50.6,12,---,3,---,4,---,22,66.4,15,---,0,---,7,---,"5,814","34,472",16.9%,"2,079","8,649",24.0%,"3,735","25,823",14.5%,535,312,507,61.5%,"15,422",729,4.7%,"35,163","922,677,120","$26,240",962.4,507,"8,116","29,466",28%,"6,476","20,708","1,640","8,758",18.7%,16,---,6,---,9,---,3,---,5,---,7,---,8,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
