 CNTY , CONAME ,TOTPOP,POPRANK,POPSQMI,POPANGNO,POPANGPC,POPBLNO,POPBLPCT,POPHISNO,POPHISPC,POPOTHNO,POPOTHPC,POP04TOT,POP04F,POP04M,POP04PCT,POP514TO,POP514F,POP514M,POP514PC,POP1544T,POP1544F,POP1544M,POP1544PC,POP4564T,POP4564F,POP4564M,POP4564PC,POP65T,POP65F,POP65M,POP65PC,POPTFNO,POPTMNO,POPTFMPC,POPTMPC, UNEMPRT , TANFRECP ,FSPARTIC, PCPI , MCELIG , LIVEBIR ,ADBIRNO, ADBIRPCT ,UNWEDNO, UNWEDPCT , LBWNO , LBWPCT ,PRNTNO, PREPCT ,FERTILRT,TBNO,TBRATE,SYPHNO, SYPHRATE ,GONNO, GONRATE ,CHLAMNO,CHLAMRTE,PERTNO, PERTRATE ,VARICNO, VARICRTE ,AIDSNO, AIDSRATE , ALLDEANO ,ALLDEART,CDDEANO,CDDEART,HRTDEANO,HRTDEART,STRDEANO,STRDEART,CANDEANO, CANDEART ,LNGCANDN, LNGCANDR ,BRCANDN, BRCANDR ,COPDDN, COPDDR ,DIADEANO, DIADEART ,INFDEANO, INFDEART ,FTLDEANO,FTLDEART,ACCDEANO, ACCDEART ,MVDEANO, MVDEART ,HMIDEANO, HMIDEART ,SUIDEANO, SUIDEART , POVTOT ,PopUniv_Tot, POVPCT , POV017NO , PopUniv_LT18 , POV017PC , POVGT17N , PopUniv_18+ , POVGT17P , CHIP , Medbirth , Totbirth , MedbirthP , LaborForce , #UnEmp , UnEmp% ,PercapPop,PersInc, PercapInc ,AREA2,PreNatal,NOHILT65,NOHILT65POP,NOHILT65%,NOHI1864,NOHI1864POP,NOHILT18,NOHILT18POP,NOHILT18%,Alzheimer's,ALZDEART, FLUDEANO , FLUDEART , CLNDEANO , CLNDEART , PRSTDEANO , PRSTDEART , NEPHDEANO , NEPHDEART , LVRDEANO , LVVRDEART , SEPTDEANO , SEPTDEART ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,YEAR of DATA,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,SFY2007,SFY2007,2007,SFY2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,SFY2007,FY2007,FY2007,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,2007 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1 , Anderson County ,"56,353",56,52.6,"34,819",61.8%,"12,992",23.1%,"8,030",14.2%,512,0.9%,"3,292","1,613","1,679",5.8%,"6,071","2,929","3,142",10.8%,"26,096","7,928","18,168",46.3%,"13,996","5,794","8,202",24.8%,"6,898","3,851","3,047",12.2%,"22,115","34,238",39.2%,60.8%,5.2%,225,"5,057","$23,399","10,934", 661 ,35,5.3%,324,49.0%,69,10.4%,381,59.6%,83.4,0,---,0,---,66,117.1,153,271.5,1,1.8,24,42.6,3,7.0,545,948.0,#REF!,#REF!,125,219.2,18,---,143,247.4,44,77.5,7,---,25,45.6,9,---,5,---,1,---,29,48.7,17,---,6,---,17,---,"7,890","41,826",18.9%,"2,599","11,114",23.4%,"5,291","30,712",17.2%,558,406,667,60.9%,"20,121","1,043",5.2%,"56,716","1,327,097,684","$23,399","1,070.8",639,"7,757","35,671",22%,"6,001","24,472","1,756","11,199",15.7%,29,51.7,9,---,16,---,8,---,4,---,8,---,12,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2 , Andrews County ,"13,320",151,8.9,"6,887",51.7%,246,1.8%,"6,006",45.1%,181,1.4%,"1,134",551,583,8.5%,"1,883",906,977,14.1%,"5,254","2,640","2,614",39.4%,"3,246","1,629","1,617",24.4%,"1,803","1,000",803,13.5%,"6,726","6,594",50.5%,49.5%,3.3%,60,"1,312","$33,971","2,853", 253 ,17,6.7%,131,51.8%,30,11.9%,181,73.3%,95.8,0,---,0,---,9,67.6,23,172.7,0,---,0,---,0,---,125,918.4,#REF!,#REF!,32,238.7,2,---,38,274.6,16,---,4,---,13,---,2,---,4,---,1,---,4,---,3,---,0,---,2,---,"1,988","13,012",15.3%,756,"3,616",20.9%,"1,232","9,396",13.1%,254,132,265,49.8%,"6,703",220,3.3%,"13,120","445,699,520","$33,971","1,500.6",247,"3,305","11,990",28%,"2,553","8,178",752,"3,812",19.7%,3,---,3,---,4,---,1,---,1,---,2,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3 , Angelina County ,"82,734",44,103.2,"53,246",64.4%,"11,947",14.4%,"16,552",20.0%,989,1.2%,"6,223","3,047","3,176",7.5%,"12,076","5,938","6,138",14.6%,"33,606","16,444","17,162",40.6%,"20,061","10,020","10,041",24.2%,"10,768","6,132","4,636",13.0%,"41,581","41,153",50.3%,49.7%,4.4%,425,"11,137","$32,627","18,583"," 1,367 ",71,5.2%,646,47.3%,126,9.2%,792,60.7%,83.1,2,2.5,1,1.2,109,131.7,242,292.5,11,13.3,94,113.6,6,7.4,764,893.7,#REF!,#REF!,203,235.5,102,119.4,139,160.0,36,42.0,6,---,33,39.4,17,---,12,---,11,---,46,56.3,23,27.8,10,---,10,---,"15,497","80,124",19.3%,"6,956","21,811",31.9%,"8,541","58,313",14.6%,810,792,"1,365",58.0%,"39,776","1,765",4.4%,"82,570","2,694,011,390","$32,627",801.6,"1,305","17,142","70,013",24%,"13,195","48,001","3,947","22,012",17.9%,16,---,19,---,12,---,8,---,18,---,8,---,12,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4 , Aransas County ,"25,232",101,100.2,"18,538",73.5%,370,1.5%,"5,366",21.3%,958,3.8%,"1,314",643,671,5.2%,"2,719","1,282","1,437",10.8%,"7,927","3,896","4,031",31.4%,"7,818","4,036","3,782",31.0%,"5,454","2,845","2,609",21.6%,"12,702","12,530",50.3%,49.7%,4.1%,110,"2,958","$33,602","4,547", 281 ,19,6.8%,122,43.4%,25,8.9%,143,55.0%,72.1,2,7.9,0,---,16,63.4,78,309.1,0,---,0,---,1,4.0,279,772.9,#REF!,#REF!,66,184.2,13,---,66,157.5,25,58.2,5,---,12,---,14,---,2,---,1,---,14,---,4,---,3,---,4,---,"4,416","24,297",18.2%,"1,651","5,124",32.2%,"2,765","19,173",14.4%,240,163,268,60.8%,"11,041",457,4.1%,"24,549","824,895,498","$33,602",251.9,260,"5,489","18,945",29%,"4,530","13,775",959,"5,170",18.5%,8,---,5,---,6,---,4,---,4,---,2,---,8,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5 , Archer County ,"9,136",174,10.0,"8,500",93.0%,13,0.1%,559,6.1%,64,0.7%,481,234,247,5.3%,"1,264",598,666,13.8%,"3,493","1,645","1,848",38.2%,"2,590","1,301","1,289",28.3%,"1,308",722,586,14.3%,"4,500","4,636",49.3%,50.7%,3.2%,2,150,"$36,236",609, 83 ,1,1.2%,24,28.9%,10,12.0%,69,85.2%,50.5,0,---,0,---,5,54.7,15,164.2,0,---,0,---,0,---,61,652.9,#REF!,#REF!,15,---,1,---,14,---,7,---,1,---,7,---,3,---,0,---,0,---,3,---,3,---,0,---,1,---,727,"8,939",8.1%,230,"2,127",10.8%,497,"6,812",7.3%,52,12,92,13.0%,"5,119",166,3.2%,"8,954","324,457,144","$36,236",909.7,81,"1,964","7,770",25%,"1,524","5,647",440,"2,123",20.7%,1,---,1,---,1,---,0,---,0,---,1,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 6 , Armstrong County ,"2,183",236,2.4,"2,039",93.4%,4,0.2%,131,6.0%,9,0.4%,141,67,74,6.5%,263,116,147,12.0%,752,376,376,34.4%,584,291,293,26.8%,443,246,197,20.3%,"1,096","1,087",50.2%,49.8%,3.5%,1,49,"$29,943",238, 22 ,0,0.0%,6,27.3%,3,13.6%,15,68.2%,58.5,0,---,0,---,0,---,1,45.8,0,---,1,45.8,0,---,33,972.7,#REF!,#REF!,12,---,1,---,10,---,3,---,1,---,0,---,0,---,1,---,0,---,0,---,0,---,0,---,0,---,189,"1,986",9.5%,67,440,15.2%,122,"1,546",7.9%,20,5,21,23.8%,"1,072",37,3.5%,"2,076","62,161,668","$29,943",913.6,22,455,"1,666",27%,353,"1,206",102,460,22.2%,0,---,1,---,1,---,1,---,0,---,1,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 7 , Atascosa County ,"43,074",69,35.0,"16,363",38.0%,189,0.4%,"26,208",60.8%,314,0.7%,"3,231","1,579","1,652",7.5%,"6,940","3,447","3,493",16.1%,"17,715","8,867","8,848",41.1%,"10,589","5,377","5,212",24.6%,"4,599","2,511","2,088",10.7%,"21,781","21,293",50.6%,49.4%,4.2%,139,"6,538","$25,358","11,349", 712 ,45,6.3%,320,44.9%,55,7.7%,463,68.9%,80.3,1,2.3,0,---,16,37.1,110,255.4,3,7.0,96,222.9,1,2.3,338,880.3,#REF!,#REF!,77,208.6,18,---,79,202.1,17,---,5,---,10,---,21,52.1,1,---,3,---,19,---,9,---,2,---,5,---,"7,774","43,029",18.1%,"3,144","12,282",25.6%,"4,630","30,747",15.1%,605,403,723,55.7%,"18,791",784,4.2%,"43,477","1,102,489,766","$25,358","1,232.1",672,"10,910","38,716",28%,"8,632","26,474","2,278","12,242",18.6%,13,---,7,---,10,---,7,---,10,---,11,---,3,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 8 , Austin County ,"27,095",96,41.5,"18,623",68.7%,"2,922",10.8%,"5,365",19.8%,185,0.7%,"1,795",869,926,6.6%,"3,625","1,767","1,858",13.4%,"10,165","5,015","5,150",37.5%,"7,618","3,818","3,800",28.1%,"3,892","2,176","1,716",14.4%,"13,645","13,450",50.4%,49.6%,3.8%,39,"1,551","$35,580","3,757", 373 ,15,4.0%,149,39.9%,31,8.3%,195,56.0%,74.4,0,---,0,---,12,44.3,42,155.0,0,---,1,3.7,3,11.1,244,764.6,#REF!,#REF!,80,245.1,14,---,44,134.8,6,---,4,---,10,---,12,---,1,---,0,---,20,---,12,---,1,---,2,---,"2,867","26,291",10.9%,982,"6,535",15.0%,"1,885","19,756",9.5%,335,141,363,38.8%,"12,870",493,3.8%,"26,510","943,225,800","$35,580",652.6,348,"6,248","22,985",27%,"4,806","16,345","1,442","6,640",21.7%,5,---,5,---,8,---,2,---,1,---,2,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 9 , Bailey County ,"6,270",192,7.6,"2,855",45.5%,81,1.3%,"3,303",52.7%,31,0.5%,599,292,307,9.6%,978,481,497,15.6%,"2,312","1,157","1,155",36.9%,"1,428",712,716,22.8%,953,512,441,15.2%,"3,154","3,116",50.3%,49.7%,4.3%,30,"1,092","$27,444","2,243", 131 ,8,6.1%,46,35.1%,10,7.6%,44,47.3%,113.2,0,---,0,---,4,63.8,29,462.5,0,---,5,79.7,0,---,58,799.0,#REF!,#REF!,16,---,2,---,13,---,4,---,0,---,2,---,3,---,0,---,0,---,4,---,2,---,0,---,2,---,"1,242","6,285",19.8%,582,"1,916",30.4%,660,"4,369",15.1%,126,69,138,50.0%,"3,289",143,4.3%,"6,294","172,732,536","$27,444",826.7,93,"1,815","5,381",34%,"1,398","3,497",417,"1,884",22.1%,4,---,2,---,3,---,1,---,3,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
