 CNTY , CONAME ,TOTPOP,POPRANK,POPSQMI,POPANGNO,POPANGPC,POPBLNO,POPBLPCT,POPHISNO,POPHISPC,POPOTHNO,POPOTHPC,POP04TOT,POP04F,POP04M,POP04PCT,POP514TO,POP514F,POP514M,POP514PC,POP1544T,POP1544F,POP1544M,POP1544PC,POP4564T,POP4564F,POP4564M,POP4564PC,POP65T,POP65F,POP65M,POP65PC,POPTFNO,POPTMNO,POPTFMPC,POPTMPC, UNEMPRT , TANFRECP ,FSPARTIC, PCPI , MCELIG , LIVEBIR ,ADBIRNO, ADBIRPCT ,UNWEDNO, UNWEDPCT , LBWNO , LBWPCT ,PRNTNO, PREPCT ,FERTILRT,TBNO,TBRATE,SYPHNO, SYPHRATE ,GONNO, GONRATE ,CHLAMNO,CHLAMRTE,PERTNO, PERTRATE ,VARICNO, VARICRTE ,AIDSNO, AIDSRATE , ALLDEANO ,ALLDEART,CDDEANO,CDDEART,HRTDEANO,HRTDEART,STRDEANO,STRDEART,CANDEANO, CANDEART ,LNGCANDN, LNGCANDR ,BRCANDN, BRCANDR ,COPDDN, COPDDR ,DIADEANO, DIADEART ,INFDEANO, INFDEART ,FTLDEANO,FTLDEART,ACCDEANO, ACCDEART ,MVDEANO, MVDEART ,HMIDEANO, HMIDEART ,SUIDEANO, SUIDEART , POVTOT ,PopUniv_Tot, POVPCT , POV017NO , PopUniv_LT18 , POV017PC , POVGT17N , PopUniv_18+ , POVGT17P , CHIP , Medbirth , Totbirth , MedbirthP , LaborForce , #UnEmp , UnEmp% ,PercapPop,PersInc, PercapInc ,AREA2,PreNatal,NOHILT65,NOHILT65POP,NOHILT65%,NOHI1864,NOHI1864POP,NOHILT18,NOHILT18POP,NOHILT18%,Alzheimer's,ALZDEART, FLUDEANO , FLUDEART , CLNDEANO , CLNDEART , PRSTDEANO , PRSTDEART , NEPHDEANO , NEPHDEART , LVRDEANO , LVVRDEART , SEPTDEANO , SEPTDEART ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 85 , Garza County ,"5,075",203,5.7,"2,752",54.2%,253,5.0%,"2,047",40.3%,23,0.5%,347,167,180,6.8%,697,339,358,13.7%,"2,047",839,"1,208",40.3%,"1,203",556,647,23.7%,781,448,333,15.4%,"2,349","2,726",46.3%,53.7%,3.8%,46,736,"$26,635","1,400", 76 ,10,13.2%,35,46.1%,12,15.8%,41,45.1%,90.6,0,---,0,---,7,137.9,20,394.1,2,39.4,0,---,0,---,43,746.0,#REF!,#REF!,2,---,1,---,5,---,3,---,0,---,2,---,0,---,0,---,0,---,6,---,2,---,0,---,0,---,992,"4,429",22.4%,367,"1,253",29.3%,625,"3,176",19.7%,86,32,65,49.2%,"2,552",98,3.8%,"4,828","128,593,780","$26,635",895.6,91,"1,033","3,604",29%,819,"2,484",214,"1,120",19.1%,3,---,3,---,1,---,0,---,1,---,1,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 86 , Gillespie County ,"24,083",103,22.7,"19,715",81.9%,38,0.2%,"4,209",17.5%,121,0.5%,"1,202",587,615,5.0%,"2,590","1,353","1,237",10.8%,"6,993","3,456","3,537",29.0%,"7,109","3,831","3,278",29.5%,"6,189","3,435","2,754",25.7%,"12,662","11,421",52.6%,47.4%,3.3%,35,"1,099","$35,236","2,773", 245 ,12,4.9%,74,30.2%,18,7.3%,180,70.6%,70.9,0,---,0,---,3,12.5,39,161.9,1,4.2,51,211.8,0,---,270,610.5,#REF!,#REF!,70,156.3,24,53.1,63,141.8,16,---,5,---,12,---,7,---,2,---,4,---,14,---,6,---,0,---,3,---,"2,342","22,961",10.2%,758,"4,622",16.4%,"1,584","18,339",8.6%,339,149,249,59.8%,"12,835",422,3.3%,"23,144","815,501,984","$35,236","1,061.1",255,"5,909","17,656",33%,"4,580","12,841","1,329","4,815",27.6%,4,---,11,---,1,---,5,---,0,---,1,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 87 , Glasscock County ,"1,241",245,1.4,843,67.9%,6,0.5%,391,31.5%,1,0.1%,75,35,40,6.0%,190,92,98,15.3%,493,236,257,39.7%,324,148,176,26.1%,159,76,83,12.8%,587,654,47.3%,52.7%,4.5%,0,16,"$30,473",80, 9 ,0,0.0%,2,22.2%,0,0.0%,7,70.0%,38.1,0,---,0,---,0,---,0,---,0,---,1,80.6,0,---,4,---,#REF!,#REF!,1,---,0,---,1,---,0,---,0,---,0,---,0,---,0,---,0,---,0,---,0,---,0,---,0,---,152,"1,246",12.2%,57,345,16.5%,95,901,10.5%,28,2,7,28.6%,579,26,4.5%,"1,210","36,872,330","$30,473",900.8,10,416,"1,057",39%,306,757,110,300,36.7%,0,---,0,---,0,---,0,---,0,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 88 , Goliad County ,"7,195",188,8.4,"4,226",58.7%,314,4.4%,"2,628",36.5%,27,0.4%,428,207,221,5.9%,867,415,452,12.1%,"2,524","1,219","1,305",35.1%,"2,072","1,057","1,015",28.8%,"1,304",711,593,18.1%,"3,609","3,586",50.2%,49.8%,4.1%,74,794,"$24,982","1,279", 75 ,6,8.0%,35,46.7%,5,6.7%,45,54.2%,61.5,1,13.9,0,---,2,27.8,9,125.1,1,13.9,15,208.5,1,13.9,78,861.4,#REF!,#REF!,17,---,6,---,20,---,6,---,1,---,5,---,1,---,0,---,0,---,6,---,5,---,0,---,3,---,"1,074","7,066",15.2%,340,"1,581",21.5%,734,"5,485",13.4%,66,40,69,58.0%,"3,446",140,4.1%,"7,060","176,372,920","$24,982",853.5,83,"1,609","5,855",27%,"1,263","4,292",346,"1,563",22.1%,1,---,1,---,1,---,0,---,3,---,2,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 89 , Gonzales County ,"19,256",123,18.0,"9,174",47.6%,"1,619",8.4%,"8,330",43.3%,133,0.7%,"1,533",748,785,8.0%,"2,625","1,240","1,385",13.6%,"7,522","3,627","3,895",39.1%,"4,516","2,221","2,295",23.5%,"3,060","1,704","1,356",15.9%,"9,540","9,716",49.5%,50.5%,4.0%,121,"3,136","$25,583","5,448", 353 ,30,8.5%,174,49.3%,25,7.1%,180,56.1%,97.3,0,---,0,---,14,72.7,76,394.7,0,---,16,83.1,0,---,187,808.6,#REF!,#REF!,36,144.3,12,---,42,194.9,11,---,5,---,13,---,5,---,6,---,1,---,15,---,10,---,1,---,1,---,"3,733","19,144",19.5%,"1,460","5,252",27.8%,"2,273","13,892",16.4%,295,223,379,58.8%,"9,743",394,4.0%,"19,206","491,347,098","$25,583","1,067.8",321,"4,789","16,302",29%,"3,768","11,134","1,021","5,168",19.8%,12,---,3,---,3,---,2,---,4,---,2,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 90 , Gray County ,"22,437",108,24.2,"17,052",76.0%,"1,448",6.5%,"3,597",16.0%,340,1.5%,"1,356",664,692,6.0%,"2,875","1,427","1,448",12.8%,"8,649","3,674","4,975",38.5%,"5,521","2,780","2,741",24.6%,"4,036","2,369","1,667",18.0%,"10,914","11,523",48.6%,51.4%,3.9%,187,"1,971","$32,027","4,111", 341 ,14,4.1%,140,41.1%,24,7.0%,191,54.1%,92.8,0,---,0,---,19,84.7,63,280.8,5,22.3,0,---,0,---,290,933.8,#REF!,#REF!,69,211.2,18,---,55,180.9,22,72.2,0,---,22,70.9,6,---,3,---,3,---,17,---,5,---,0,---,4,---,"2,890","20,210",14.3%,958,"5,042",19.0%,"1,932","15,168",12.7%,180,215,357,60.2%,"10,890",428,3.9%,"21,705","695,146,035","$32,027",928.3,353,"4,142","16,780",25%,"3,197","11,630",945,"5,150",18.3%,21,58.0,3,---,4,---,0,---,6,---,4,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 91 , Grayson County ,"118,438",32,126.9,"97,066",82.0%,"7,337",6.2%,"11,012",9.3%,"3,023",2.6%,"7,967","3,910","4,057",6.7%,"14,982","7,299","7,683",12.6%,"46,901","23,210","23,691",39.6%,"31,105","15,771","15,334",26.3%,"17,483","10,196","7,287",14.8%,"60,386","58,052",51.0%,49.0%,4.9%,336,"11,052","$27,468","19,887"," 1,556 ",69,4.4%,631,40.6%,107,6.9%,894,56.4%,67.0,2,1.7,2,1.7,110,92.9,224,189.1,3,2.5,64,54.0,4,3.4,"1,281",903.2,#REF!,#REF!,397,275.1,63,43.4,268,190.9,79,56.2,13,---,68,47.4,21,15.2,7,---,9,---,71,56.8,30,24.5,3,---,17,---,"16,451","115,042",14.3%,"5,681","28,124",20.2%,"10,770","86,918",12.4%,"1,196",938,"1,603",58.5%,"56,289","2,753",4.9%,"116,829","3,209,058,972","$27,468",933.5,"1,586","23,686","99,776",24%,"18,786","71,052","4,900","28,724",17.1%,54,36.1,52,34.6,28,19.8,11,---,18,---,16,---,8,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 92 , Gregg County ,"117,743",33,429.7,"75,663",64.3%,"24,144",20.5%,"16,073",13.7%,"1,863",1.6%,"9,063","4,454","4,609",7.7%,"16,447","8,099","8,348",14.0%,"48,155","23,733","24,422",40.9%,"28,369","14,544","13,825",24.1%,"15,709","9,299","6,410",13.3%,"60,129","57,614",51.1%,48.9%,4.6%,655,"13,992","$36,342","25,632"," 2,072 ",101,4.9%,947,45.7%,209,10.1%,"1,136",56.7%,87.3,9,7.6,1,0.8,275,233.6,619,525.7,1,0.8,25,21.2,24,20.4,"1,163",924.5,#REF!,#REF!,283,222.9,81,64.0,236,188.2,67,53.9,15,---,83,65.9,43,34.1,20,---,8,---,56,48.4,26,22.7,13,---,11,---,"18,915","113,263",16.7%,"7,316","30,357",24.1%,"11,599","82,906",14.0%,"1,835","1,489","1,999",74.5%,"61,510","2,800",4.6%,"115,803","4,208,512,626","$36,342",274.0,"2,003","23,248","99,603",23%,"17,507","68,769","5,741","30,834",18.6%,18,---,20,15.4,27,21.3,9,---,24,19.1,17,---,18,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 93 , Grimes County ,"24,802",101,31.3,"15,646",63.1%,"4,679",18.9%,"4,331",17.5%,146,0.6%,"1,636",805,831,6.6%,"2,984","1,509","1,475",12.0%,"9,780","4,428","5,352",39.4%,"6,944","3,118","3,826",28.0%,"3,458","1,669","1,789",13.9%,"11,529","13,273",46.5%,53.5%,5.4%,90,"2,486","$23,143","4,164", 329 ,17,5.2%,140,42.6%,19,5.8%,185,67.5%,74.3,0,---,0,---,43,173.4,88,354.8,0,---,2,8.1,1,4.5,187,718.6,#REF!,#REF!,52,197.0,13,---,39,145.8,19,---,4,---,7,---,5,---,1,---,1,---,18,---,8,---,0,---,3,---,"4,098","22,894",17.9%,"1,391","5,772",24.1%,"2,707","17,122",15.8%,274,138,318,43.4%,"10,473",565,5.4%,"25,225","583,782,175","$23,143",793.6,274,"5,547","20,183",27%,"4,299","14,256","1,248","5,927",21.1%,2,---,0,---,4,---,3,---,6,---,5,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 94 , Guadalupe County ,"111,122",35,156.3,"63,289",57.0%,"5,755",5.2%,"40,078",36.1%,"2,000",1.8%,"6,855","3,345","3,510",6.2%,"16,912","8,403","8,509",15.2%,"46,518","23,101","23,417",41.9%,"28,402","14,332","14,070",25.6%,"12,435","6,832","5,603",11.2%,"56,013","55,109",50.4%,49.6%,4.4%,420,"9,252","$30,554","15,867"," 1,488 ",75,5.0%,536,36.0%,137,9.2%,975,63.1%,64.4,4,3.6,2,1.8,51,45.9,215,193.5,3,2.7,18,16.2,1,0.9,733,758.5,#REF!,#REF!,193,202.0,40,43.0,183,184.3,47,48.9,10,---,31,32.6,14,---,7,---,5,---,52,50.5,20,---,5,---,15,---,"12,041","106,558",11.3%,"4,621","26,866",17.2%,"7,420","79,692",9.3%,991,770,"1,490",51.7%,"54,331","2,364",4.4%,"107,436","3,282,599,544","$30,554",711.1,"1,546","23,412","98,645",24%,"17,803","69,299","5,609","29,346",19.1%,16,---,16,---,25,24.8,7,---,15,---,9,---,9,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 95 , Hale County ,"35,921",80,35.8,"14,996",41.7%,"2,122",5.9%,"18,510",51.5%,293,0.8%,"3,144","1,534","1,610",8.8%,"5,673","2,789","2,884",15.8%,"15,293","7,063","8,230",42.6%,"7,363","3,725","3,638",20.5%,"4,448","2,525","1,923",12.4%,"17,636","18,285",49.1%,50.9%,5.2%,358,"5,871","$22,777","9,409", 608 ,58,9.5%,284,46.7%,55,9.0%,356,55.3%,86.1,0,---,0,---,56,155.9,187,520.6,0,---,1,2.8,2,5.8,301,849.8,#REF!,#REF!,57,156.5,20,---,71,205.0,9,---,4,---,22,62.8,19,---,0,---,8,---,13,---,7,---,0,---,1,---,"6,948","33,893",20.5%,"2,865","10,651",26.9%,"4,083","23,242",17.6%,418,380,609,62.4%,"16,578",867,5.2%,"35,722","813,639,994","$22,777","1,004.7",644,"7,529","29,452",26%,"5,799","19,036","1,730","10,416",16.6%,12,---,7,---,10,---,3,---,5,---,9,---,3,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 96 , Hall County ,"3,660",218,4.1,"2,157",58.9%,303,8.3%,"1,179",32.2%,21,0.6%,255,121,134,7.0%,526,255,271,14.4%,"1,258",606,652,34.4%,843,439,404,23.0%,778,445,333,21.3%,"1,866","1,794",51.0%,49.0%,6.2%,27,596,"$18,370",961, 40 ,1,2.5%,10,25.0%,4,10.0%,19,42.2%,66.0,0,---,0,---,1,27.3,10,273.2,0,---,0,---,0,---,52,935.9,#REF!,#REF!,14,---,6,---,4,---,0,---,1,---,5,---,1,---,1,---,0,---,2,---,0,---,0,---,1,---,967,"3,608",26.8%,353,934,37.8%,614,"2,674",23.0%,45,37,43,86.0%,"1,458",90,6.2%,"3,606","66,242,220","$18,370",903.1,45,"1,129","2,809",40%,856,"1,893",273,916,29.8%,1,---,0,---,0,---,0,---,1,---,0,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 97 , Hamilton County ,"8,480",177,10.1,"7,676",90.5%,17,0.2%,729,8.6%,58,0.7%,481,235,246,5.7%,"1,034",499,535,12.2%,"2,811","1,338","1,473",33.1%,"2,211","1,145","1,066",26.1%,"1,943","1,087",856,22.9%,"4,304","4,176",50.8%,49.2%,4.2%,37,761,"$28,060","1,657", 102 ,5,4.9%,33,32.4%,10,9.8%,65,78.3%,76.2,0,---,0,---,1,11.8,13,153.3,3,35.4,2,23.6,0,---,132,874.6,#REF!,#REF!,38,234.1,11,---,24,172.3,5,---,5,---,8,---,1,---,1,---,0,---,8,---,1,---,0,---,2,---,"1,315","7,922",16.6%,471,"1,738",27.1%,844,"6,184",13.6%,150,45,91,49.5%,"4,005",169,4.2%,"8,072","226,500,320","$28,060",835.7,83,"1,817","6,305",29%,"1,424","4,505",393,"1,800",21.8%,7,---,7,---,2,---,2,---,5,---,1,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 98 , Hansford County ,"5,119",201,5.6,"3,146",61.5%,7,0.1%,"1,930",37.7%,36,0.7%,432,209,223,8.4%,763,397,366,14.9%,"1,935",952,983,37.8%,"1,206",576,630,23.6%,783,446,337,15.3%,"2,580","2,539",50.4%,49.6%,3.6%,0,385,"$33,660",913, 82 ,1,1.2%,20,24.4%,9,11.0%,53,66.3%,86.1,0,---,0,---,0,---,6,117.2,0,---,19,371.2,0,---,45,749.6,#REF!,#REF!,3,---,1,---,8,---,3,---,0,---,4,---,2,---,0,---,0,---,5,---,3,---,0,---,0,---,761,"5,142",14.8%,309,"1,515",20.4%,452,"3,627",12.5%,69,24,89,27.0%,"2,390",86,3.6%,"5,106","171,867,960","$33,660",919.8,80,"1,545","4,522",34%,"1,134","2,987",411,"1,535",26.8%,5,---,1,---,0,---,0,---,0,---,0,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 99 , Hardeman County ,"4,436",207,6.4,"3,422",77.1%,212,4.8%,761,17.2%,41,0.9%,265,129,136,6.0%,550,260,290,12.4%,"1,568",805,763,35.3%,"1,172",589,583,26.4%,881,523,358,19.9%,"2,306","2,130",52.0%,48.0%,4.0%,21,465,"$24,536",927, 51 ,4,7.8%,18,35.3%,2,3.9%,30,54.5%,63.4,0,---,0,---,2,45.1,10,225.4,0,---,0,---,0,---,40,601.0,#REF!,#REF!,8,---,7,---,10,---,3,---,0,---,3,---,0,---,0,---,0,---,2,---,0,---,0,---,0,---,720,"4,186",17.2%,286,990,28.9%,434,"3,196",13.6%,46,27,47,57.4%,"2,336",94,4.0%,"4,236","103,934,496","$24,536",695.4,55,807,"3,384",24%,654,"2,465",153,919,16.6%,2,---,0,---,1,---,1,---,1,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 100 , Hardin County ,"50,419",59,56.4,"44,842",88.9%,"3,705",7.3%,"1,571",3.1%,301,0.6%,"3,191","1,562","1,629",6.3%,"7,240","3,448","3,792",14.4%,"20,104","10,046","10,058",39.9%,"13,420","6,716","6,704",26.6%,"6,464","3,630","2,834",12.8%,"25,402","25,017",50.4%,49.6%,5.3%,113,"5,474","$30,837","8,707", 682 ,22,3.2%,241,35.3%,55,8.1%,526,77.6%,67.9,1,2.0,0,---,5,9.9,45,89.3,0,---,2,4.0,2,4.0,485,958.7,#REF!,#REF!,115,229.5,29,56.3,123,232.1,37,68.5,7,---,37,72.1,25,49.8,6,---,1,---,26,52.9,12,---,2,---,5,---,"7,060","50,791",13.9%,"2,379","12,587",18.9%,"4,681","38,204",12.3%,770,208,652,31.9%,"25,462","1,339",5.3%,"50,721","1,564,083,477","$30,837",894.3,678,"9,206","45,162",20%,"7,318","32,416","1,888","12,746",14.8%,22,47.0,8,---,9,---,6,---,11,---,2,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 101 , Harris County ,"3,830,130",1,"2,215.5","1,335,213",34.9%,"723,873",18.9%,"1,511,155",39.5%,"259,889",6.8%,"330,737","162,314","168,423",8.6%,"562,558","275,100","287,458",14.7%,"1,808,929","883,413","925,516",47.2%,"843,025","425,713","417,312",22.0%,"284,881","163,085","121,796",7.4%,"1,909,625","1,920,505",49.9%,50.1%,5.1%,"21,483","360,619","$46,132","677,658"," 70,175 ","3,226",4.6%,"29,660",42.3%,"6,087",8.7%,"39,120",58.0%,79.4,413,10.8,370,9.7,"6,073",158.6,"11,825",308.7,81,2.1,"1,568",40.9,986,25.8,"20,573",799.3,#REF!,#REF!,"4,823",201.6,"1,251",54.8,"4,633",176.2,"1,203",46.9,395,25.3,753,32.8,621,23.5,411,5.9,395,5.6,"1,338",41.3,470,12.5,441,10.9,322,8.9,"628,902","3,834,768",16.4%,"255,847","1,107,563",23.1%,"373,055","2,727,205",13.7%,"59,693","40,234","69,307",58.1%,"1,878,297","95,701",5.1%,"3,858,432","177,997,185,024","$46,132","1,728.8","67,419","1,215,177","3,642,032",33%,"941,528","2,506,674","273,649","1,135,358",24.1%,499,24.6,378,16.7,483,18.9,222,25.2,436,18.0,308,9.6,456,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 102 , Harrison County ,"63,715",52,70.9,"43,183",67.8%,"14,953",23.5%,"5,093",8.0%,486,0.8%,"3,991","1,943","2,048",6.3%,"8,682","4,153","4,529",13.6%,"25,614","12,943","12,671",40.2%,"17,105","8,643","8,462",26.8%,"8,323","4,714","3,609",13.1%,"32,396","31,319",50.8%,49.2%,5.1%,375,"7,296","$29,729","11,986", 852 ,51,6.0%,380,44.6%,68,8.0%,441,53.8%,65.8,7,11.0,2,3.1,128,200.9,176,276.2,2,3.1,18,28.3,4,6.3,569,879.5,#REF!,#REF!,130,201.4,23,36.0,116,172.8,40,57.0,7,---,27,40.8,16,---,1,---,2,---,54,84.8,23,34.4,7,---,12,---,"11,330","61,913",18.3%,"4,019","15,578",25.8%,"7,311","46,335",15.8%,744,455,845,53.8%,"31,503","1,612",5.1%,"63,204","1,878,991,716","$29,729",898.7,820,"13,564","54,277",25%,"10,756","38,681","2,808","15,596",18.0%,21,34.1,5,---,14,---,1,---,8,---,9,---,8,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 103 , Hartley County ,"5,520",198,3.8,"4,309",78.1%,416,7.5%,759,13.8%,36,0.7%,348,168,180,6.3%,633,318,315,11.5%,"2,342",741,"1,601",42.4%,"1,518",580,938,27.5%,679,380,299,12.3%,"2,187","3,333",39.6%,60.4%,4.0%,0,113,"$28,685",627, 75 ,2,2.7%,21,28.0%,6,8.0%,57,87.7%,101.2,0,---,0,---,1,18.1,3,54.3,0,---,0,---,0,---,57,1005.1,#REF!,#REF!,12,---,5,---,16,---,5,---,1,---,0,---,4,---,1,---,1,---,4,---,1,---,0,---,0,---,416,"3,888",10.7%,119,"1,123",10.6%,297,"2,765",10.7%,21,10,68,14.7%,"2,202",88,4.0%,"5,174","148,416,190","$28,685","1,462.3",65,850,"3,301",26%,563,"2,158",287,"1,143",25.1%,1,---,0,---,2,---,0,---,0,---,1,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 104 , Haskell County ,"5,662",197,6.3,"4,116",72.7%,164,2.9%,"1,350",23.8%,32,0.6%,365,178,187,6.4%,617,315,302,10.9%,"1,806",905,901,31.9%,"1,495",761,734,26.4%,"1,379",798,581,24.4%,"2,957","2,705",52.2%,47.8%,3.9%,55,919,"$25,185","1,414", 60 ,9,15.0%,21,35.0%,6,10.0%,32,55.2%,66.3,1,17.7,0,---,2,35.3,9,159.0,0,---,2,35.3,0,---,76,702.6,#REF!,#REF!,29,266.9,6,---,13,---,4,---,0,---,1,---,2,---,0,---,1,---,2,---,0,---,0,---,1,---,"1,337","5,327",25.1%,434,"1,107",39.2%,903,"4,220",21.4%,99,44,60,73.3%,"2,947",116,3.9%,"5,302","133,530,870","$25,185",903.0,58,"1,216","3,917",31%,"1,011","2,871",205,"1,046",19.6%,7,---,0,---,4,---,0,---,3,---,1,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 105 , Hays County ,"133,913",26,197.5,"85,786",64.1%,"4,802",3.6%,"41,348",30.9%,"1,977",1.5%,"8,907","4,362","4,545",6.7%,"14,889","7,224","7,665",11.1%,"69,476","33,645","35,831",51.9%,"30,509","15,240","15,269",22.8%,"10,132","5,622","4,510",7.6%,"66,093","67,820",49.4%,50.6%,4.2%,169,"5,953","$28,076","15,565"," 1,852 ",74,4.0%,504,27.2%,139,7.5%,"1,242",60.6%,55.0,2,1.5,1,0.7,137,102.3,880,657.1,14,10.5,210,156.8,1,0.7,656,760.1,#REF!,#REF!,132,159.8,47,59.6,143,154.4,33,35.9,11,---,30,38.5,22,23.2,5,---,19,---,33,26.3,17,---,2,---,14,---,"18,016","122,558",14.7%,"3,872","29,557",13.1%,"14,144","93,001",15.2%,"1,392",768,"1,792",42.9%,"69,639","2,927",4.2%,"132,887","3,730,935,412","$28,076",677.9,"2,051","31,418","123,739",25%,"24,840","89,325","6,578","34,414",19.1%,36,48.8,17,---,12,---,2,---,14,---,15,---,8,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
