 CNTY , CONAME ,TOTPOP,POPRANK,POPSQMI,POPANGNO,POPANGPC,POPBLNO,POPBLPCT,POPHISNO,POPHISPC,POPOTHNO,POPOTHPC,POP04TOT,POP04F,POP04M,POP04PCT,POP514TO,POP514F,POP514M,POP514PC,POP1544T,POP1544F,POP1544M,POP1544PC,POP4564T,POP4564F,POP4564M,POP4564PC,POP65T,POP65F,POP65M,POP65PC,POPTFNO,POPTMNO,POPTFMPC,POPTMPC, UNEMPRT , TANFRECP ,FSPARTIC, PCPI , MCELIG , LIVEBIR ,ADBIRNO, ADBIRPCT ,UNWEDNO, UNWEDPCT , LBWNO , LBWPCT ,PRNTNO, PREPCT ,FERTILRT,TBNO,TBRATE,SYPHNO, SYPHRATE ,GONNO, GONRATE ,CHLAMNO,CHLAMRTE,PERTNO, PERTRATE ,VARICNO, VARICRTE ,AIDSNO, AIDSRATE , ALLDEANO ,ALLDEART,CDDEANO,CDDEART,HRTDEANO,HRTDEART,STRDEANO,STRDEART,CANDEANO, CANDEART ,LNGCANDN, LNGCANDR ,BRCANDN, BRCANDR ,COPDDN, COPDDR ,DIADEANO, DIADEART ,INFDEANO, INFDEART ,FTLDEANO,FTLDEART,ACCDEANO, ACCDEART ,MVDEANO, MVDEART ,HMIDEANO, HMIDEART ,SUIDEANO, SUIDEART , POVTOT ,PopUniv_Tot, POVPCT , POV017NO , PopUniv_LT18 , POV017PC , POVGT17N , PopUniv_18+ , POVGT17P , CHIP , Medbirth , Totbirth , MedbirthP , LaborForce , #UnEmp , UnEmp% ,PercapPop,PersInc, PercapInc ,AREA2,PreNatal,NOHILT65,NOHILT65POP,NOHILT65%,NOHI1864,NOHI1864POP,NOHILT18,NOHILT18POP,NOHILT18%,Alzheimer's,ALZDEART, FLUDEANO , FLUDEART , CLNDEANO , CLNDEART , PRSTDEANO , PRSTDEART , NEPHDEANO , NEPHDEART , LVRDEANO , LVVRDEART , SEPTDEANO , SEPTDEART ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,YEAR of DATA,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,SFY2006,SFY2006,2006,SFY2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,SFY2006,FY2006,FY2006,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,2006 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1 , Anderson County ,"56,202",56,52.5,"34,880",62.1%,"13,006",23.1%,"7,818",13.9%,498,0.9%,"3,271","1,602","1,669",5.8%,"6,047","2,900","3,147",10.8%,"26,398","8,012","18,386",47.0%,"13,680","5,700","7,980",24.3%,"6,806","3,832","2,974",12.1%,"22,046","34,156",39.2%,60.8%,5.9%,311,"5,686","$21,559","10,085", 663 ,28,4.2%,301,45.4%,59,8.9%,393,60.2%,82.8,0,---,0,---,93,165.5,155,275.8,4,7.1,18,32.0,3,7.1,594,1042.3,#REF!,#REF!,132,236.4,37,66.7,142,248.3,39,69.1,5,---,24,43.4,16,---,3,---,1,---,43,71.8,16,---,3,---,15,---,"8,101","41,974",19.3%,"2,718","11,185",24.3%,"5,383","30,789",17.5%,586,470,660,71.2%,"20,258","1,195",5.9%,"56,354","1,214,935,886","$21,559","1,070.8",653,"8,008","35,801",22%,"6,357","24,577","1,651","11,224",14.7%,38,65.7,12,---,14,---,2,---,7,---,11,---,6,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2 , Andrews County ,"13,154",152,8.8,"6,905",52.5%,238,1.8%,"5,833",44.3%,178,1.4%,"1,101",533,568,8.4%,"1,880",900,980,14.3%,"5,250","2,646","2,604",39.9%,"3,169","1,585","1,584",24.1%,"1,754",986,768,13.3%,"6,650","6,504",50.6%,49.4%,3.5%,57,"1,435","$30,554","2,813", 231 ,17,7.4%,108,46.8%,27,11.7%,160,63.7%,87.3,0,---,0,---,3,22.8,31,235.7,0,---,1,7.6,0,---,124,933.7,#REF!,#REF!,34,253.1,10,---,24,171.0,10,---,0,---,14,---,6,---,4,---,1,---,6,---,3,---,0,---,0,---,"1,879","12,782",14.7%,674,"3,604",18.7%,"1,205","9,178",13.1%,299,124,215,57.7%,"6,797",238,3.5%,"12,841","392,343,914","$30,554","1,500.6",251,"3,034","11,560",26%,"2,324","7,895",710,"3,665",19.4%,3,---,1,---,0,---,1,---,1,---,2,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3 , Angelina County ,"82,424",44,102.8,"53,730",65.2%,"11,968",14.5%,"15,776",19.1%,950,1.2%,"6,230","3,053","3,177",7.6%,"12,123","5,988","6,135",14.7%,"33,598","16,437","17,161",40.8%,"19,817","9,924","9,893",24.0%,"10,656","6,105","4,551",12.9%,"41,507","40,917",50.4%,49.6%,4.7%,538,"12,261","$30,977","18,407"," 1,363 ",72,5.3%,601,44.1%,126,9.2%,827,61.7%,82.9,2,2.5,1,1.2,105,127.4,231,280.3,24,29.1,69,83.7,5,6.1,783,919.3,#REF!,#REF!,199,231.3,112,131.9,158,186.2,37,43.5,13,---,41,47.9,21,25.0,2,---,9,---,31,37.2,20,---,2,---,5,---,"12,290","79,805",15.4%,"5,237","21,821",24.0%,"7,053","57,984",12.2%,838,807,"1,394",57.9%,"40,033","1,877",4.7%,"82,107","2,543,428,539","$30,977",801.6,"1,340","16,548","70,157",24%,"12,809","48,193","3,739","21,964",17.0%,13,---,14,---,13,---,9,---,17,---,9,---,11,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4 , Aransas County ,"24,900",100,98.8,"18,334",73.6%,351,1.4%,"5,274",21.2%,941,3.8%,"1,292",632,660,5.2%,"2,791","1,313","1,478",11.2%,"7,887","3,892","3,995",31.7%,"7,583","3,915","3,668",30.5%,"5,347","2,794","2,553",21.5%,"12,546","12,354",50.4%,49.6%,4.7%,124,"3,468","$31,537","4,654", 265 ,17,6.4%,95,35.8%,28,10.6%,127,47.2%,68.1,0,---,0,---,13,52.2,70,281.1,0,---,2,8.0,0,---,306,890.6,#REF!,#REF!,67,178.5,14,---,84,215.1,33,82.0,3,---,26,74.5,7,---,1,---,1,---,20,---,2,---,2,---,4,---,"5,171","24,392",21.2%,"1,951","5,161",37.8%,"3,220","19,231",16.7%,273,177,276,64.1%,"11,034",521,4.7%,"24,396","769,376,652","$31,537",251.9,269,"6,032","19,155",31%,"4,891","13,949","1,141","5,206",21.9%,10,---,5,---,4,---,6,---,10,---,6,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5 , Archer County ,"9,065",174,10.0,"8,458",93.3%,12,0.1%,533,5.9%,62,0.7%,475,229,246,5.2%,"1,295",605,690,14.3%,"3,498","1,660","1,838",38.6%,"2,512","1,260","1,252",27.7%,"1,285",704,581,14.2%,"4,458","4,607",49.2%,50.8%,3.4%,5,134,"$33,943",643, 79 ,2,2.5%,32,40.5%,9,11.4%,60,72.3%,47.6,0,---,0,---,23,253.7,15,165.5,0,---,32,353.0,0,---,73,808.5,#REF!,#REF!,19,---,3,---,15,---,4,---,0,---,4,---,4,---,1,---,0,---,5,---,3,---,0,---,0,---,814,"9,146",8.9%,268,"2,215",12.1%,546,"6,931",7.9%,52,4,85,4.7%,"5,458",185,3.4%,"8,958","304,061,394","$33,943",909.7,83,"2,157","7,748",28%,"1,622","5,560",535,"2,188",24.5%,2,---,2,---,3,---,0,---,0,---,0,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 6 , Armstrong County ,"2,170",236,2.4,"2,025",93.3%,5,0.2%,132,6.1%,8,0.4%,134,66,68,6.2%,265,125,140,12.2%,746,365,381,34.4%,585,286,299,27.0%,440,244,196,20.3%,"1,086","1,084",50.0%,50.0%,3.5%,2,44,"$29,839",222, 26 ,1,3.8%,4,15.4%,1,3.8%,19,86.4%,71.2,0,---,0,---,1,46.1,1,46.1,0,---,0,---,0,---,25,675.4,#REF!,#REF!,10,---,1,---,4,---,1,---,0,---,1,---,1,---,0,---,0,---,2,---,1,---,0,---,0,---,229,"2,027",11.3%,77,456,16.9%,152,"1,571",9.7%,22,1,21,4.8%,"1,105",39,3.5%,"2,094","62,482,866","$29,839",913.6,22,445,"1,637",27%,327,"1,182",118,455,25.9%,1,---,1,---,0,---,0,---,0,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 7 , Atascosa County ,"42,414",69,34.4,"16,232",38.3%,189,0.4%,"25,681",60.5%,312,0.7%,"3,188","1,562","1,626",7.5%,"6,983","3,470","3,513",16.5%,"17,501","8,773","8,728",41.3%,"10,233","5,193","5,040",24.1%,"4,509","2,470","2,039",10.6%,"21,468","20,946",50.6%,49.4%,4.7%,237,"7,012","$24,030","11,187", 649 ,48,7.4%,318,49.0%,52,8.0%,387,56.1%,74.0,4,9.4,1,2.4,19,44.8,86,202.8,7,16.5,56,132.0,2,4.7,307,837.4,#REF!,#REF!,93,262.1,10,---,66,171.9,18,---,2,---,9,---,11,---,1,---,2,---,13,---,4,---,1,---,6,---,"8,532","43,310",19.7%,"3,714","12,298",30.2%,"4,818","31,012",15.5%,629,388,657,59.1%,"19,211",900,4.7%,"42,950","1,032,088,500","$24,030","1,232.1",690,"10,405","38,785",27%,"8,033","26,410","2,372","12,375",19.2%,13,---,6,---,6,---,4,---,6,---,8,---,6,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 8 , Austin County ,"26,928",96,41.3,"18,665",69.3%,"2,892",10.7%,"5,188",19.3%,183,0.7%,"1,780",866,914,6.6%,"3,661","1,766","1,895",13.6%,"10,169","5,064","5,105",37.8%,"7,465","3,717","3,748",27.7%,"3,853","2,171","1,682",14.3%,"13,584","13,344",50.4%,49.6%,4.4%,50,"1,850","$33,174","3,866", 351 ,19,5.4%,125,35.6%,33,9.4%,201,55.5%,69.3,0,---,0,---,8,29.7,24,89.1,0,---,13,48.3,0,---,262,825.1,#REF!,#REF!,96,292.6,13,---,54,172.6,16,---,3,---,9,---,7,---,4,---,4,---,14,---,3,---,0,---,8,---,"2,991","26,009",11.5%,"1,026","6,413",16.0%,"1,965","19,596",10.0%,364,169,358,47.2%,"12,717",554,4.4%,"26,062","864,580,788","$33,174",652.6,362,"6,306","22,866",28%,"4,819","16,211","1,487","6,655",22.3%,5,---,7,---,3,---,4,---,4,---,0,---,3,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 9 , Bailey County ,"6,514",191,7.9,"3,010",46.2%,85,1.3%,"3,391",52.1%,28,0.4%,613,294,319,9.4%,"1,012",495,517,15.5%,"2,425","1,221","1,204",37.2%,"1,468",743,725,22.5%,996,541,455,15.3%,"3,294","3,220",50.6%,49.4%,5.0%,42,"1,217","$25,454","2,193", 126 ,10,7.9%,46,36.5%,7,5.6%,44,46.3%,103.2,0,---,0,---,1,15.4,24,368.4,0,---,0,---,0,---,64,833.0,#REF!,#REF!,11,---,6,---,12,---,2,---,1,---,5,---,3,---,1,---,0,---,7,---,4,---,0,---,1,---,"1,231","6,513",18.9%,608,"2,000",30.4%,623,"4,513",13.8%,118,69,128,53.9%,"3,162",158,5.0%,"6,434","163,771,036","$25,454",826.7,95,"1,742","5,484",32%,"1,393","3,569",349,"1,915",18.2%,3,---,4,---,1,---,2,---,1,---,1,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
