 CNTY , CONAME ,TOTPOP,POPRANK,POPSQMI,POPANGNO,POPANGPC,POPBLNO,POPBLPCT,POPHISNO,POPHISPC,POPOTHNO,POPOTHPC,POP04TOT,POP04F,POP04M,POP04PCT,POP514TO,POP514F,POP514M,POP514PC,POP1544T,POP1544F,POP1544M,POP1544PC,POP4564T,POP4564F,POP4564M,POP4564PC,POP65T,POP65F,POP65M,POP65PC,POPTFNO,POPTMNO,POPTFMPC,POPTMPC, UNEMPRT , TANFRECP ,FSPARTIC, PCPI , MCELIG , LIVEBIR ,ADBIRNO, ADBIRPCT ,UNWEDNO, UNWEDPCT , LBWNO , LBWPCT ,PRNTNO, PREPCT ,FERTILRT,TBNO,TBRATE,SYPHNO, SYPHRATE ,GONNO, GONRATE ,CHLAMNO,CHLAMRTE,PERTNO, PERTRATE ,VARICNO, VARICRTE ,AIDSNO, AIDSRATE , ALLDEANO ,ALLDEART,CDDEANO,CDDEART,HRTDEANO,HRTDEART,STRDEANO,STRDEART,CANDEANO, CANDEART ,LNGCANDN, LNGCANDR ,BRCANDN, BRCANDR ,COPDDN, COPDDR ,DIADEANO, DIADEART ,INFDEANO, INFDEART ,FTLDEANO,FTLDEART,ACCDEANO, ACCDEART ,MVDEANO, MVDEART ,HMIDEANO, HMIDEART ,SUIDEANO, SUIDEART , POVTOT ,PopUniv_Tot, POVPCT , POV017NO , PopUniv_LT18 , POV017PC , POVGT17N , PopUniv_18+ , POVGT17P , CHIP , Medbirth , Totbirth , MedbirthP , LaborForce , #UnEmp , UnEmp% ,PercapPop,PersInc, PercapInc ,AREA2,PreNatal,NOHILT65,NOHILT65POP,NOHILT65%,NOHI1864,NOHI1864POP,NOHILT18,NOHILT18POP,NOHILT18%,Alzheimer's,ALZDEART, FLUDEANO , FLUDEART , CLNDEANO , CLNDEART , PRSTDEANO , PRSTDEART , NEPHDEANO , NEPHDEART , LVRDEANO , LVVRDEART , SEPTDEANO , SEPTDEART ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,YEAR of DATA,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,SFY2009,SFY2009,2009,SFY2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,SFY2009,FY2009,FY2009,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 56 , Dallam County ,"6,337",193,4.2,"4,111",64.9%,96,1.5%,"2,073",32.7%,57,0.9%,492,234,258,7.8%,991,480,511,15.6%,"2,655","1,285","1,370",41.9%,"1,453",687,766,22.9%,746,397,349,11.8%,"3,083","3,254",48.7%,51.3%,4.3%,27,664,"$35,142","1,442", 128 ,10,7.8%,57,44.5%,8,6.3%,75,59.1%,99.6,1,14.9,0,---,0,---,21,331.4,0,---,1,15.8,0,---,50,829.8,#REF!,#REF!,18,---,3,---,6,---,1,---,1,---,5,---,1,---,2,---,0,---,4,---,3,---,1,---,1,---,904,"6,222",14.5%,414,"1,845",22.4%,490,"4,377",11.2%,177,0,124,0.0%,"3,701",160,4.3%,"6,293","221,148,606","$35,142","1,504.7",127,"1,968","5,484",36%,"1,499","3,636",469,"1,848",25.4%,0,---,1,---,2,---,0,---,1,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 57 , Dallas County ,"2,429,276",2,"2,761.8","782,369",32.2%,"490,052",20.2%,"1,009,151",41.5%,"147,704",6.1%,"206,617","101,369","105,248",8.5%,"359,245","175,886","183,359",14.8%,"1,156,082","549,286","606,796",47.6%,"515,739","258,052","257,687",21.2%,"191,593","110,675","80,918",7.9%,"1,195,268","1,234,008",49.2%,50.8%,8.2%,"7,590","259,503","$45,406","481,504"," 42,276 ","2,132",5.0%,"21,703",51.3%,"3,524",8.3%,"21,989",52.9%,77.0,195,8.1,294,12.1,"4,420",181.9,"14,009",576.7,170,7.0,391,16.1,487,20.2,"13,966",806.6,#REF!,#REF!,"3,218",191.6,785,48.6,"3,092",178.2,819,49.0,231,22.7,655,42.3,394,22.6,310,7.3,245,5.8,723,34.9,188,8.0,214,8.5,245,10.6,"450,082","2,411,204",18.7%,"184,940","680,469",27.2%,"265,142","1,730,735",15.3%,"55,094",0,"42,795",0.0%,"1,152,946","95,089",8.2%,"2,451,730","111,323,252,380","$45,406",879.6,"41,591","695,939","2,182,604",32%,"553,800","1,503,325","142,139","679,279",20.9%,511,33.7,286,17.1,296,16.5,133,22.1,356,21.5,171,8.6,217,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 58 , Dawson County ,"13,938",148,15.5,"5,287",37.9%,"1,155",8.3%,"7,429",53.3%,67,0.5%,"1,063",521,542,7.6%,"1,807",888,919,13.0%,"5,937","2,188","3,749",42.6%,"3,184","1,467","1,717",22.8%,"1,947","1,136",811,14.0%,"6,200","7,738",44.5%,55.5%,8.1%,48,"2,028","$27,409","3,736", 211 ,16,7.6%,118,55.9%,21,10.0%,107,51.2%,96.4,0,---,0,---,11,78.9,68,487.9,0,---,0,---,0,---,139,884.0,#REF!,#REF!,34,213.0,11,---,26,171.0,6,---,1,---,6,---,8,---,1,---,0,---,7,---,1,---,1,---,1,---,"2,683","11,378",23.6%,"1,027","3,253",31.6%,"1,656","8,125",20.4%,241,0,210,0.0%,"5,416",441,8.1%,"13,657","374,324,713","$27,409",902.1,209,"3,536","11,436",31%,"2,911","8,176",625,"3,260",19.2%,8,---,5,---,3,---,0,---,2,---,3,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 59 , Deaf Smith County ,"18,710",125,12.5,"6,389",34.1%,261,1.4%,"11,951",63.9%,109,0.6%,"1,821",890,931,9.7%,"3,179","1,584","1,595",17.0%,"7,475","3,657","3,818",40.0%,"4,013","2,055","1,958",21.4%,"2,222","1,244",978,11.9%,"9,430","9,280",50.4%,49.6%,5.3%,70,"2,930","$28,132","5,365", 399 ,43,10.8%,209,52.4%,31,7.8%,223,55.9%,109.1,1,4.9,0,---,10,53.4,64,342.1,0,---,3,16.0,1,4.9,170,961.4,#REF!,#REF!,39,219.5,11,---,39,228.0,7,---,1,---,6,---,4,---,5,---,0,---,8,---,3,---,1,---,3,---,"3,488","18,043",19.3%,"1,635","5,888",27.8%,"1,853","12,155",15.2%,528,0,388,0.0%,"9,227",491,5.3%,"18,353","516,306,596","$28,132","1,497.3",399,"5,314","15,777",34%,"4,121","9,958","1,193","5,819",20.5%,2,---,5,---,2,---,3,---,5,---,6,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 60 , Delta County ,"5,483",199,19.8,"4,784",87.3%,488,8.9%,164,3.0%,47,0.9%,301,143,158,5.5%,600,311,289,10.9%,"2,040",968,"1,072",37.2%,"1,518",786,732,27.7%,"1,024",594,430,18.7%,"2,802","2,681",51.1%,48.9%,8.4%,33,628,"$26,126","1,241", 61 ,0,0.0%,29,47.5%,4,6.6%,39,63.9%,63.0,0,---,0,---,3,54.7,7,127.7,0,---,0,---,0,---,57,782.8,#REF!,#REF!,10,---,2,---,7,---,3,---,0,---,1,---,4,---,0,---,0,---,6,---,4,---,0,---,0,---,998,"5,299",18.8%,318,"1,141",27.9%,680,"4,158",16.4%,85,0,56,0.0%,"2,325",196,8.4%,"5,410","141,341,660","$26,126",277.1,61,"1,087","4,295",25%,909,"3,146",178,"1,149",15.5%,2,---,3,---,1,---,0,---,2,---,1,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 61 , Denton County ,"657,876",9,740.4,"467,321",71.0%,"46,295",7.0%,"106,904",16.2%,"37,356",5.7%,"47,165","23,139","24,026",7.2%,"87,433","42,734","44,699",13.3%,"327,502","165,643","161,859",49.8%,"158,841","81,177","77,664",24.1%,"36,935","20,397","16,538",5.6%,"333,090","324,786",50.6%,49.4%,7.2%,194,"19,312","$39,133","46,353"," 9,246 ",201,2.2%,"2,221",24.0%,662,7.2%,"6,100",66.8%,55.8,22,3.3,5,0.8,277,42.1,"1,328",201.9,127,19.3,132,20.1,33,4.9,"2,590",777.1,#REF!,#REF!,580,182.8,112,37.9,593,164.9,157,42.3,52,23.2,171,62.0,74,20.4,40,4.3,23,2.5,149,28.9,49,7.8,13,---,69,9.9,"56,409","647,102",8.7%,"16,430","177,567",9.3%,"39,979","469,535",8.5%,"7,235",0,"9,248",0.0%,"347,598","25,048",7.2%,"658,616","25,773,619,928","$39,133",888.5,"9,131","107,194","605,793",18%,"87,605","425,659","19,589","180,134",10.9%,77,29.5,89,30.2,39,10.1,25,26.0,41,12.9,38,8.3,25,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 62 , DeWitt County ,"20,173",119,22.2,"11,351",56.3%,"2,316",11.5%,"6,378",31.6%,128,0.6%,"1,329",648,681,6.6%,"2,307","1,111","1,196",11.4%,"7,505","3,257","4,248",37.2%,"5,322","2,581","2,741",26.4%,"3,710","2,090","1,620",18.4%,"9,687","10,486",48.0%,52.0%,7.7%,25,"2,992","$30,364","4,623", 261 ,8,3.1%,140,53.6%,15,5.7%,169,65.5%,80.1,1,5.2,1,5.0,12,59.5,35,173.5,0,---,1,5.0,2,10.4,229,796.8,#REF!,#REF!,69,230.5,12,---,49,177.8,20,---,3,---,10,---,2,---,0,---,0,---,7,---,2,---,0,---,3,---,"3,462","17,918",19.3%,"1,187","4,336",27.4%,"2,275","13,582",16.8%,264,0,263,0.0%,"9,158",705,7.7%,"19,713","598,565,532","$30,364",909.2,258,"4,293","15,901",27%,"3,560","11,582",733,"4,319",17.0%,5,---,6,---,6,---,1,---,7,---,2,---,5,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 63 , Dickens County ,"2,645",231,2.9,"1,707",64.5%,215,8.1%,711,26.9%,12,0.5%,128,59,69,4.8%,226,111,115,8.5%,"1,102",341,761,41.7%,624,298,326,23.6%,565,307,258,21.4%,"1,116","1,529",42.2%,57.8%,7.4%,0,302,"$25,593",440, 28 ,4,14.3%,12,42.9%,3,10.7%,12,44.4%,82.1,0,---,0,---,0,---,8,302.5,0,---,0,---,0,---,22,501.8,#REF!,#REF!,8,---,1,---,4,---,0,---,0,---,2,---,2,---,0,---,0,---,1,---,0,---,0,---,0,---,489,"1,926",25.4%,151,479,31.5%,338,"1,447",23.4%,34,0,26,0.0%,"1,037",77,7.4%,"2,439","62,421,327","$25,593",904.2,27,678,"1,921",35%,570,"1,442",108,479,22.5%,0,---,1,---,0,---,0,---,1,---,1,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 64 , Dimmit County ,"9,989",166,7.5,"1,192",11.9%,62,0.6%,"8,643",86.5%,92,0.9%,816,400,416,8.2%,"1,526",771,755,15.3%,"3,979","1,987","1,992",39.8%,"2,344","1,179","1,165",23.5%,"1,324",743,581,13.3%,"5,080","4,909",50.9%,49.1%,10.2%,38,"3,131","$25,836","4,229", 151 ,10,6.6%,99,65.6%,18,11.9%,110,73.8%,76.0,0,---,0,---,4,40.0,37,370.4,1,10.0,3,30.0,0,---,80,748.3,#REF!,#REF!,21,185.2,7,---,18,---,3,---,2,---,4,---,3,---,0,---,1,---,8,---,6,---,0,---,1,---,"2,952","9,651",30.6%,"1,331","3,005",44.3%,"1,621","6,646",24.4%,242,0,152,0.0%,"4,231",431,10.2%,"9,772","252,469,392","$25,836","1,330.9",149,"2,437","8,317",29%,"1,983","5,356",454,"2,961",15.3%,2,---,1,---,2,---,3,---,1,---,1,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 65 , Donley County ,"3,981",212,4.3,"3,446",86.6%,220,5.5%,284,7.1%,31,0.8%,217,101,116,5.5%,398,190,208,10.0%,"1,346",643,703,33.8%,"1,087",582,505,27.3%,933,543,390,23.4%,"2,059","1,922",51.7%,48.3%,6.2%,0,328,"$32,200",618, 34 ,2,5.9%,12,35.3%,2,5.9%,17,50.0%,52.9,0,---,0,---,3,75.4,12,301.4,0,---,0,---,0,---,50,805.0,#REF!,#REF!,15,---,1,---,12,---,3,---,0,---,1,---,2,---,0,---,0,---,3,---,1,---,0,---,0,---,675,"3,351",20.1%,212,786,27.0%,463,"2,565",18.1%,60,0,37,0.0%,"1,921",120,6.2%,"3,664","117,980,800","$32,200",929.8,34,921,"2,829",33%,751,"2,053",170,776,21.9%,3,---,0,---,2,---,1,---,1,---,0,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 66 , Duval County ,"12,309",154,6.9,"1,308",10.6%,50,0.4%,"10,901",88.6%,50,0.4%,988,485,503,8.0%,"1,742",900,842,14.2%,"4,889","2,317","2,572",39.7%,"2,902","1,387","1,515",23.6%,"1,788","1,010",778,14.5%,"6,099","6,210",49.5%,50.5%,11.1%,46,"2,635","$28,454","3,960", 191 ,10,5.2%,109,57.1%,22,11.5%,76,40.6%,82.4,1,8.6,0,---,6,48.7,48,390.0,1,8.1,2,16.2,0,---,141,1017.7,#REF!,#REF!,35,243.1,4,---,25,185.0,6,---,1,---,3,---,15,---,0,---,2,---,9,---,2,---,0,---,2,---,"2,886","11,305",25.5%,"1,160","3,266",35.5%,"1,726","8,039",21.5%,226,0,193,0.0%,"5,328",592,11.1%,"12,010","341,732,540","$28,454","1,792.7",187,"2,590","9,987",26%,"2,102","6,712",488,"3,275",14.9%,2,---,3,---,0,---,1,---,5,---,3,---,5,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 67 , Eastland County ,"18,281",127,19.7,"15,245",83.4%,435,2.4%,"2,474",13.5%,127,0.7%,"1,179",573,606,6.4%,"2,133","1,059","1,074",11.7%,"6,254","3,011","3,243",34.2%,"4,773","2,488","2,285",26.1%,"3,942","2,222","1,720",21.6%,"9,353","8,928",51.2%,48.8%,7.6%,69,"2,406","$37,381","4,197", 234 ,15,6.4%,103,44.0%,20,8.5%,152,65.0%,77.7,0,---,0,---,3,16.4,19,103.9,0,---,1,5.5,1,5.3,257,929.8,#REF!,#REF!,49,164.6,13,---,55,216.3,18,---,5,---,23,77.0,17,---,0,---,1,---,13,---,7,---,0,---,1,---,"3,412","17,361",19.7%,"1,228","4,144",29.6%,"2,184","13,217",16.5%,383,0,209,0.0%,"8,750",662,7.6%,"18,167","679,100,627","$37,381",926.0,234,"4,212","14,282",29%,"3,455","10,162",757,"4,120",18.4%,9,---,7,---,5,---,4,---,6,---,5,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 68 , Ector County ,"133,754",27,148.4,"54,516",40.8%,"6,328",4.7%,"70,828",53.0%,"2,082",1.6%,"12,226","6,004","6,222",9.1%,"20,121","9,830","10,291",15.0%,"55,646","27,934","27,712",41.6%,"30,642","15,642","15,000",22.9%,"15,119","8,674","6,445",11.3%,"68,084","65,670",50.9%,49.1%,8.2%,445,"18,596","$33,544","33,219"," 2,755 ",216,7.8%,"1,432",52.0%,273,9.9%,"2,084",76.0%,98.6,2,1.5,5,3.7,201,150.3,676,505.4,4,3.0,31,23.2,6,4.6,"1,128",899.5,#REF!,#REF!,280,228.5,67,54.7,224,177.9,56,45.3,13,---,107,86.0,38,28.9,15,---,4,---,81,62.2,41,30.5,11,---,23,18.6,"22,328","132,150",16.9%,"9,289","40,250",23.1%,"13,039","91,900",14.2%,"2,123",0,"2,794",0.0%,"70,994","5,857",8.2%,"134,625","4,515,861,000","$33,544",901.1,"2,743","34,540","118,343",29%,"26,751","78,149","7,789","40,194",19.4%,28,23.5,24,19.6,30,24.4,11,---,16,---,25,19.2,19,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 69 , Edwards County ,"2,016",237,1.0,"1,019",50.5%,2,0.1%,985,48.9%,10,0.5%,110,50,60,5.5%,211,107,104,10.5%,700,330,370,34.7%,525,258,267,26.0%,470,252,218,23.3%,997,"1,019",49.5%,50.5%,7.3%,0,292,"$30,181",464, 20 ,1,5.0%,6,30.0%,4,20.0%,11,55.0%,60.6,0,---,0,---,1,49.6,2,99.2,0,---,0,---,0,---,15,---,#REF!,#REF!,5,---,2,---,1,---,1,---,0,---,0,---,1,---,0,---,1,---,0,---,0,---,0,---,1,---,458,"1,831",25.0%,177,462,38.3%,281,"1,369",20.5%,37,0,21,0.0%,"1,075",79,7.3%,"1,863","56,227,203","$30,181","2,119.8",20,614,"1,668",37%,499,"1,210",115,458,25.1%,1,---,0,---,0,---,0,---,0,---,1,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 70 , Ellis County ,"151,352",26,161.0,"96,569",63.8%,"13,946",9.2%,"39,096",25.8%,"1,741",1.2%,"11,446","5,586","5,860",7.6%,"22,291","10,716","11,575",14.7%,"65,196","31,508","33,688",43.1%,"38,437","19,304","19,133",25.4%,"13,982","7,798","6,184",9.2%,"74,912","76,440",49.5%,50.5%,8.0%,316,"12,327","$32,059","22,569"," 2,151 ",81,3.8%,836,38.9%,146,6.8%,"1,225",57.7%,68.3,3,2.0,4,2.6,102,67.4,438,289.4,10,6.6,13,8.6,6,3.9,997,854.1,#REF!,#REF!,238,210.9,54,49.0,225,181.3,65,54.0,13,---,51,45.8,29,22.5,15,---,6,---,45,32.0,21,14.4,11,---,13,---,"16,347","149,581",10.9%,"6,733","43,397",15.5%,"9,614","106,184",9.1%,"2,376",0,"2,117",0.0%,"71,029","5,686",8.0%,"151,737","4,864,536,483","$32,059",939.9,"2,124","30,707","133,722",23%,"24,149","90,231","6,558","43,491",15.1%,36,35.6,11,---,26,21.1,8,---,17,---,14,---,15,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 71 , El Paso County ,"755,073",7,745.3,"87,289",11.6%,"19,688",2.6%,"633,605",83.9%,"14,491",1.9%,"72,263","35,432","36,831",9.6%,"107,716","53,000","54,716",14.3%,"343,946","168,688","175,258",45.6%,"156,813","84,252","72,561",20.8%,"74,335","43,545","30,790",9.8%,"384,917","370,156",51.0%,49.0%,9.0%,"6,850","155,364","$29,381","224,868"," 13,968 ",832,6.0%,"6,171",44.2%,"1,293",9.3%,"7,823",58.7%,82.8,57,7.5,13,1.7,503,66.6,"3,421",453.1,7,0.9,147,19.5,51,6.7,"4,481",734.0,#REF!,#REF!,994,167.6,255,43.2,981,159.1,169,27.9,79,22.1,217,37.3,184,30.6,56,4.0,96,6.8,243,34.9,97,12.8,25,3.4,62,8.5,"174,651","737,596",23.7%,"76,356","233,555",32.7%,"98,295","504,041",19.5%,"20,941",0,"14,166",0.0%,"306,644","27,726",9.0%,"751,296","22,073,827,776","$29,381","1,013.1","13,330","207,206","657,315",32%,"172,797","426,319","34,409","230,996",14.9%,158,28.7,73,11.6,92,14.9,60,26.5,110,18.4,147,22.4,78,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 72 , Erath County ,"35,809",82,33.0,"27,561",77.0%,333,0.9%,"7,616",21.3%,299,0.8%,"2,402","1,167","1,235",6.7%,"4,566","2,233","2,333",12.8%,"16,814","8,129","8,685",47.0%,"7,745","3,831","3,914",21.6%,"4,282","2,404","1,878",12.0%,"17,764","18,045",49.6%,50.4%,6.3%,28,"2,823","$29,830","5,473", 498 ,12,2.4%,172,34.5%,30,6.0%,283,57.3%,61.3,1,2.6,0,---,5,14.0,120,335.1,2,5.6,9,25.1,0,---,321,906.9,#REF!,#REF!,84,237.3,35,98.6,63,180.3,13,---,4,---,19,---,4,---,2,---,1,---,23,65.6,13,---,0,---,1,---,"7,075","34,107",20.7%,"1,872","8,132",23.0%,"5,203","25,975",20.0%,670,0,512,0.0%,"19,272","1,214",6.3%,"36,184","1,079,368,720","$29,830","1,086.3",494,"9,309","30,860",30%,"7,711","22,705","1,598","8,155",19.6%,8,---,5,---,11,---,3,---,3,---,5,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 73 , Falls County ,"17,687",130,23.0,"9,161",51.8%,"4,723",26.7%,"3,725",21.1%,78,0.4%,"1,111",540,571,6.3%,"2,216","1,063","1,153",12.5%,"7,347","3,901","3,446",41.5%,"4,182","2,151","2,031",23.6%,"2,831","1,604","1,227",16.0%,"9,259","8,428",52.3%,47.7%,8.9%,36,"2,575","$25,998","4,148", 214 ,10,4.7%,102,47.7%,23,10.7%,121,63.4%,54.9,2,11.9,1,5.7,43,243.1,94,531.5,0,---,0,---,1,5.9,197,909.8,#REF!,#REF!,79,350.1,8,---,34,154.3,7,---,3,---,10,---,5,---,1,---,2,---,7,---,6,---,1,---,6,---,"3,452","14,889",23.2%,"1,266","3,743",33.8%,"2,186","11,146",19.6%,274,0,196,0.0%,"6,695",594,8.9%,"16,782","436,298,436","$25,998",769.1,191,"4,007","13,729",29%,"3,307","9,733",700,"3,996",17.5%,2,---,3,---,3,---,1,---,5,---,2,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 74 , Fannin County ,"34,304",86,38.5,"28,867",84.2%,"2,646",7.7%,"2,392",7.0%,399,1.2%,"1,999",979,"1,020",5.8%,"4,295","2,156","2,139",12.5%,"13,533","5,599","7,934",39.5%,"8,914","4,418","4,496",26.0%,"5,563","3,032","2,531",16.2%,"16,184","18,120",47.2%,52.8%,8.8%,96,"3,254","$28,370","6,097", 386 ,14,3.6%,174,45.1%,34,8.8%,204,53.7%,68.9,2,6.2,0,---,16,46.6,80,233.2,0,---,2,5.8,0,---,443,1037.3,#REF!,#REF!,134,314.6,24,53.3,83,190.8,35,80.9,0,---,29,64.8,6,---,2,---,2,---,25,69.2,14,---,0,---,4,---,"5,087","29,486",17.3%,"1,775","7,347",24.2%,"3,312","22,139",15.0%,449,0,390,0.0%,"13,578","1,201",8.8%,"32,999","936,181,630","$28,370",891.5,380,"7,245","26,751",27%,"6,007","19,379","1,238","7,372",16.8%,34,73.9,12,---,6,---,7,---,14,---,4,---,7,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 75 , Fayette County ,"24,213",104,25.5,"17,864",73.8%,"1,696",7.0%,"4,514",18.6%,139,0.6%,"1,459",713,746,6.0%,"2,740","1,333","1,407",11.3%,"7,925","3,854","4,071",32.7%,"7,194","3,606","3,588",29.7%,"4,895","2,714","2,181",20.2%,"12,220","11,993",50.5%,49.5%,5.6%,4,"1,958","$39,147","3,730", 256 ,6,2.3%,92,35.9%,11,4.3%,138,59.2%,66.4,1,4.0,0,---,11,45.4,34,140.4,4,16.5,2,8.3,0,---,301,764.6,#REF!,#REF!,82,197.6,16,---,65,170.0,16,---,6,---,7,---,9,---,2,---,1,---,17,---,8,---,1,---,2,---,"2,701","22,330",12.1%,917,"4,999",18.3%,"1,784","17,331",10.3%,391,0,275,0.0%,"12,351",687,5.6%,"22,891","896,113,977","$39,147",950.0,233,"4,441","17,476",25%,"3,521","12,486",920,"4,990",18.4%,11,---,2,---,4,---,2,---,7,---,7,---,8,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
